,B Cell,Epithelium,Myeloid,Stroma,T Cell,rho_Spearman,rho_Pearson
CID006340-1,0.26432720143632893,0.08252284956197982,0.13267307830747885,0.24659928629728156,0.27387758439693083,0.9194139194139195,0.7550914302079416
CID006468-1,0.2438531767721552,0.41648042738820407,0.06380816551725595,0.044437872581336635,0.23142035774104813,0.9562393162393162,0.7662357985726599
CID006469-1,0.33886773798881914,0.31670501816877256,0.0020724276735333592,0.01895333607887798,0.323401480089997,0.8652991452991452,0.7718650050013734
CID006478-1,0.35879860887905735,0.10801659432447812,0.02437864100925665,0.24397260390281378,0.264833551884394,0.9383394383394383,0.7811957566784067
CID006480-1,0.32767472601534964,0.13058946978972918,0.08426629141665332,0.16584786790510928,0.29162164487315856,0.9063247863247864,0.7383174400303695
CID006484-1,0.3651963567795373,0.1129062121545998,0.026157385631883877,0.3077333167857841,0.1880067286481949,0.8639316239316239,0.7014362335813995
CID006486-1,0.33686412046508224,0.029851989135833017,0.11336719959202725,0.19066016202893105,0.3292565287781265,0.8449328449328449,0.7335893190386364
CID006493-1,0.2928473811181745,0.07140105443091048,0.0838743517629821,0.2611063841434111,0.2907708285445219,0.9572649572649573,0.7023131619333939
CID006494-1,0.28926341220809426,0.1000665898934938,0.08676457465040663,0.25650422828236225,0.267401194965643,0.9268376068376069,0.7302935284215721
CID006494-2,0.27144003583738974,0.2939580493945179,0.09452651410917028,0.24644054636768645,0.09363485429123562,0.9090598290598291,0.7659914913316681
CID006515-1,0.1919346623308942,0.15236422277116315,0.06796929392756518,0.15981022094702377,0.4279216000233536,0.9493284493284494,0.8030950252629412
CID006527-1,0.03660941350079721,0.047956416168057146,0.06328087100501154,0.553623073000779,0.2985302263253551,0.9505494505494505,0.6907556629195123
CID006542-1,0.2958863123763105,0.15721759794560677,0.09754827776254574,0.14515010093943465,0.3041977109761023,0.8791208791208792,0.7324223142636361
CID006544-1,0.2624808030039434,0.2174697078517408,0.13509253747919067,0.24164107911740895,0.14331587254771622,0.8986568986568987,0.736427470175889
CID006548-1,0.37920738265144016,0.10360591752628674,0.10926495121759174,0.1927876179798036,0.2151341306248778,0.9376923076923076,0.730283986285343
CID006551-1,0.04875679143105402,0.07684726397146299,0.01764214441820867,0.3904786801627561,0.4662751200165182,0.9247863247863247,0.8222596955540084
CID007329-1,0.3992143068186736,0.10142382194805304,0.01992992067730176,0.3066095323928979,0.17282241816307367,0.9493284493284494,0.7412761158795744
CID007330-1,0.004180856830203068,0.060311940679194834,0.29342230735721403,0.322194807010613,0.3198900881227751,0.9090598290598291,0.757639536672202
CID007338-1,0.2247000551427842,0.19377912850178988,0.11910785670317398,0.2091278854379302,0.2532850742143218,0.942002442002442,0.820171681642672
CID007346-1,0.21806709679866154,0.3948402946387563,0.04801712541583429,0.1291393284034742,0.20993615474327368,0.9528205128205128,0.8174209897496694
CID007352-1,0.3554879681903562,0.10877824595030813,0.023839767145600318,0.31354950653933117,0.19834451217440416,0.9343589743589743,0.7492616048691997
CID007358-1,0.41530781690991575,0.03993977346394652,0.09074286172788773,0.16146012035375187,0.2925494275444981,0.9474969474969476,0.673714318010158
CID007659-1,0.16740804550198388,0.2027242950686146,0.13238397185935402,0.07685535131819243,0.42062833625185503,0.8980463980463981,0.8540744242399798
CID007661-1,0.1196018831338575,0.31168274582613115,0.09814563611775978,0.1139034315994275,0.35666630332282406,0.8968253968253969,0.8025549422656749
CID007664-1,0.5079974077664133,0.1573131157204847,0.06040979537819762,0.2101291427461125,0.06415053838879188,0.9358974358974359,0.6657995622481305
CID007665-1,0.40069528164752694,0.11799371430526219,0.026133405426158888,0.14605773501460956,0.30911986360644245,0.9395604395604396,0.7537069624282322
CID007666-1,0.5139743525688679,0.04981901014679801,0.04916912757898465,0.1349625929502279,0.25207491675512156,0.9459829059829059,0.6971292231234969
CID007667-1,0.29547482880863035,0.17751201224913454,0.10293915933421587,0.12111855284954232,0.3029554467584769,0.9511599511599512,0.7662587534128439
CID007672-1,0.2621508878001787,0.08034094960584881,0.1306832669302645,0.44435743336843075,0.08246746229527728,0.8553846153846153,0.6438781656678635
CID007676-1,0.37202607989926406,0.14167941948071877,0.030547204123171526,0.08934988420800999,0.36639741228883554,0.8894993894993896,0.7248966831722227
CID007681-1,0.2807734178206676,0.32028029440079586,0.07962578145278769,0.07916471704565116,0.24015578928009768,0.9017094017094017,0.8156983241543704
