,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Memory B cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID005422-1,0.0005889929821547449,0.00029356972781444086,0.0001245986227438036,0.00011144324002573161,0.002788125291111845,1.6805127787661044e-05,0.03316076447552525,0.00999787733203593,0.02778579667015779,0.0001691730615498699,0.0660624756773835,0.020737876141371663,0.0007918504805456116,0.025683534932826425,0.0003083185662491739,0.06725979676744658,0.000825710882512176,0.011633627887900592,0.04969007303458331,0.029631532281340967,0.06589282069037901,4.142499258150636e-05,0.005273955894777567,0.0028425710977211453,6.05143867855282e-05,3.5690890599187854e-05,0.01632127823822204,0.06102429303648226,0.04166376441308883,0.0669505450826494,0.0042447549820761165,0.04334521829291615,0.02982366877631689,0.00723984426439122,0.00861836360521735,4.86392930219672e-05,0.001323095231914255,0.01394371135446319,0.028536245986965483,0.00019558134450438336,0.061942401016848024,0.0004863233939247807,0.06636768807702532,0.058662151476104506,0.06523890458331925,0.00024195370921561757,0.0019726527054222337,0.7639064104925307,0.406343194428742
CID005424-1,0.004962354591645342,3.898848337911588e-06,4.010396192346308e-05,0.0010435862184254169,0.0031339927312984063,0.00415963767000035,0.03405056638270807,0.0085597348709029,0.07147915698090519,0.0015635122409622686,0.07036509076555376,0.022834250222737065,3.228287105602186e-05,0.00019825917895697367,3.52419788385202e-05,0.0735335841569672,9.360066313433203e-05,0.07099780800479016,0.039320379438482066,0.031226425835668044,0.030834605329440858,9.750743486303721e-05,0.028280787722377628,0.0025753082611346925,0.0009199706811655994,8.393515839802304e-05,0.05813601497028712,0.009239309628805405,0.022239639598462684,0.07298051590193122,0.0010414995886690024,0.014031111300842555,0.04901156301409006,0.0038031666900712087,8.661145650201315e-05,0.0011085445600925194,4.4425114872602786e-05,0.0004952380649868084,0.023664983143789564,0.00011827979033847015,0.06236495310303354,0.0037286452746909267,0.07339297417092434,0.07284831031034035,0.024432741047964782,0.00025767263913257377,0.006548218429498908,0.7796867296241514,0.4572035697249701
CID005425-1,0.0373991492244249,0.0005688820882331976,0.0007800775254016045,4.8094789094506016e-05,0.002691850567279011,0.025250502454387175,0.03727539929476408,0.07704124160668467,0.021754027859320287,0.002307103759038604,0.03744545932140744,0.00018221402455707565,0.013233076995247372,2.2694053344046652e-06,5.362711538738301e-05,0.07717923991061021,0.013028242066341369,0.00348448315561708,0.06801322266955195,0.03007252265347329,0.04341327970649929,0.007791359114419851,0.001179711076373324,0.0013371555226508788,0.00020572891444630464,0.001634281327322771,0.05927238040090212,0.013718138997267244,0.075677587689488,0.07685880032911031,0.035785734746129984,0.02480540353554792,1.5995117243685743e-05,0.007246216482529733,0.0019445777626884812,0.0006319718181157059,0.001910530578699901,0.06666724414021644,0.010623296821195841,0.000612812380240724,0.001151900891699467,9.378744432755306e-05,0.07534040116177883,0.02062085343894905,0.0032812358928212943,0.0005852744917774919,0.019783653731401913,0.7424156698993537,0.484033409853172
CID005614-1,0.03801990528218639,0.0008793902890929897,1.7384762149694397e-05,0.0001518971169047099,0.0010985314613901136,0.00037648701408902926,0.05973149196103063,0.00289887690162954,0.024599259050574068,0.0039545961418737865,0.06085594071749654,0.00949468548064195,0.05653454297248317,0.00015737557590087255,0.00033282580046185985,0.061192693907465553,0.0009275669682531202,0.008018791117552744,0.05112887822156851,0.04601971111937874,0.061348506105381055,0.00013637609517429055,0.0030856005347644957,0.005160715775567988,0.00010362408184695869,0.0005515427227657057,0.05689171873958939,0.05541216889680444,0.0021071410522662446,0.05877843551695205,0.003269242288462054,0.016047720875393374,0.058896076853004936,0.019386516043847734,4.0428946621277753e-07,0.012145485539514372,0.00020899892058322145,0.007561044815359532,0.04263893709127246,3.461489921343664e-06,0.00046035960379933445,0.0003031620016127939,0.06104064089630001,0.040038431752123765,0.05916132670817937,0.00032611897842734584,0.008545410469495375,0.7380565348645739,0.4338466903119569
CID005616-1,0.023947590025032724,0.00022714837642478594,8.395023718549327e-05,0.0003240638836504356,0.003373984557126772,5.621136318711367e-05,0.051035764015500806,0.000807057295246465,0.00973183086645787,0.001955641372129131,0.05029648162626898,0.04063122787867668,0.0004709240987981185,0.0011120587406596332,0.0002469278665151687,0.05328276640135053,0.0033802922732628273,0.045826471571467686,0.04026115698918521,0.05498989841803944,0.05463554077474647,0.0003005953203027926,0.015397595230544249,0.053689086454283504,0.0009776843876227361,6.867340864491719e-05,0.05343160119494986,0.003847499428363956,0.0523209712204792,0.05345247158358436,0.002789130250674222,0.021890021536084752,0.024952328561135793,0.04084006755226005,0.00015537830790510274,0.002774087206479133,0.0018688884284560861,0.0002568223089713488,0.022992926987420295,9.535025514055456e-05,0.056047753050605255,0.0008155681058557671,0.05605550411601437,0.04615087238072986,0.049252859205512756,6.172826461836164e-05,0.0028375466224482807,0.7248284710213644,0.48133697176589263
CID005618-1,0.02698517598132637,0.0005216844125539767,8.041775156711872e-05,0.00018716562704055014,0.012688427270246962,0.001892784927012495,0.05257172706336746,0.012621235433590113,0.01475761746125964,0.00044904763741880746,0.054166808493581346,0.05218651965673168,0.03227763098432114,0.03155605046883867,0.00029619046765196803,0.0539052252789559,0.021658519574761503,0.004890328548933826,0.022812377221847733,0.05301787840721759,0.027952705622317407,0.0024448546090855726,0.0012849226625476686,0.028509139356465735,0.0009957913560211598,0.008876449589482263,0.0546475256867041,0.053263128967188135,0.049095042790594484,0.02744156179244474,0.019660318935362603,0.015111539615900192,0.05477822864136939,0.016081613576455052,0.0006145262218760664,0.050179464900096754,0.007602656353238221,0.005703684448184337,0.018094713234473085,0.0021492229786859783,4.196581287701483e-06,9.324641711001511e-05,0.05497164538655232,0.017410299558490216,0.027080463007468417,1.7293291982728287e-05,0.006412951750390695,0.7311079058722278,0.4507134058607385
CID005620-1,0.020254006716320896,0.0002059181715507168,0.00014600285697143986,0.00021505702357560962,0.01110831893761455,4.009329162478861e-05,0.04523926525070588,0.011460378358477505,0.05008143822262654,0.005973108819029905,0.049343782109062886,0.012667544102555415,0.020539367119133213,0.004103420600520748,0.005620927035992131,0.049981728116963046,0.002630478309188179,0.04327371439690574,0.04667270489533139,0.04541938586455726,0.04667183687530399,0.0046627229345831515,0.016634384036641803,0.0432440181365819,0.0017267534742732588,0.003388038983498756,0.034987702723371455,0.04684478402294915,0.043439641799015584,0.049830128887473846,0.0004147702742048302,0.04598429077966809,0.010643001392777412,0.014415966780042285,0.016822215505343796,0.0018408899741729078,0.0013982980753780819,0.013029434871234036,0.04316873214385743,0.003525967028891522,1.0396138401664729e-05,0.0004983206801044656,0.04564357798997926,0.025905791968856232,0.04962175103881934,0.0004928968726106065,0.01017704641325734,0.7470267474508646,0.42725198488941585
CID005844-1,0.0536337448804789,3.017026162334824e-06,4.270641397504086e-05,0.00012848069230712874,0.0023848011930442154,0.00632992359440362,0.04112312118356293,0.01685767273757014,0.004195797242975959,0.004753353211340101,0.0538693203501134,0.013253590302763024,0.053914550329014425,4.8336035733951814e-05,0.0006912600325442729,0.053804436679405605,0.022595397891990377,0.006719954239800426,0.04547471691664091,0.04544138041111169,0.052185868064375175,0.0001964637223240039,0.0007589318193724047,0.0014659020846120652,0.00024118129076332152,0.00033892710254242224,0.05223146874327124,0.005125252243457075,0.052382449231053264,0.053950606642822085,0.050477885407560416,0.03333486863850241,0.006235044733999048,0.025563666550056287,0.05366387474102968,0.04354469491264215,0.03917529534941153,0.0010508901191323547,0.0005617100118923226,0.010903839018885315,1.8425934824294208e-05,9.874131647882368e-05,0.053265487914752635,0.005820499617119081,0.02557398561889826,0.00034046709305909245,0.00622801071222502,0.7001837367115535,0.40638873246569496
CID005845-1,0.00033789415682822395,0.01982459941337968,0.05297232492483199,0.000484914447051973,0.000684621569267716,0.005490053371387603,0.02831796009260844,6.780602159840585e-05,0.0517482138017058,0.0006096793491484772,0.05288838252403387,0.04502760691155781,0.05052553395290542,0.0012142874704237391,0.03644022830203106,0.0035915280681834117,0.050717647123543895,0.027822558976837695,0.052678596305703096,0.002717173285532935,0.004376431169234935,0.014103646576233173,0.052213731769785075,0.024345075747094398,0.008487317793943907,0.04907547254597397,0.01521397221817073,0.05193061457126219,0.0007845560474052346,0.045448210672152926,0.0004758661722808189,3.102084195223077e-05,5.354252791405252e-05,0.014505276713508979,6.013549809642436e-05,8.816563108133303e-05,0.0009454233256425798,0.001154466169837254,0.036604650492296005,0.00018725442133286116,0.00015464644639806493,0.0046493237167534235,0.051954575079976986,0.052839712381865925,0.03421508244997424,0.0002922765251345441,0.051647942426136316,0.7581323273507856,0.46930049060157475
CID005860-1,0.029521119086466,0.00018067770675952782,0.0006812379093098416,0.0004887731311287437,0.0037342636394581677,0.002020962733484609,0.05373747740802306,0.0013719576932654518,0.002257537711592138,6.849622394778172e-05,0.06394534101269847,0.0015876130481705208,0.0003119976835035356,9.43216219020385e-05,0.00020753983965206895,0.06665531019030004,0.06634480422038039,0.03635441254789864,0.06725752708315448,0.05538780882045214,0.06604733052786987,0.0010263897909216417,0.0007850335094640694,0.00027431141487426006,0.0008198509728088757,0.00036319677718042964,0.05637707993446808,0.00708613121687271,0.06279383017742543,0.03677337206934418,0.030869930872149592,0.0007538772546279146,0.06725885177059862,0.06373792311115997,0.0012175525392625237,0.022828644345529975,0.005980844124441658,0.00028309797956177724,0.0014892769241328689,0.001460888641312759,0.008283196892549796,1.6394232152745185e-06,0.0666819805515691,0.00777354504954711,0.029556014346344115,4.513516297173304e-05,0.007221895308247951,0.7791501641212056,0.4668114249686728
