,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
CD4 SELL naive,1.0983818450770626,1.7673465509676412,0.0,0.0,0.0,11.720846502472378,0.0,0.0,0.0,1.0252484332549643,6.458765831230362,0.0,5.556256800712301,1.931714548132805,6.558448196442714,4.912307387271548,4.231519778142903,0.0,0.0,0.0,1.941037034802862,5.445807809652813,6.770271207336756,0.0,9.642540229701474,0.0,2.5403414416025636,3.214183376179102,3.1194068950944382,0.0
CD4 TRM,0.0,0.0,3.0036509734106245,1.1937271223870838,0.0,1.113120585985455,0.0,3.0432941610930047,4.176333318046908,0.0,0.0,2.012737328728154,0.0,0.0,0.0,0.0,0.7842039962849635,0.0,1.0235469762607197,0.9244500196278809,0.0,0.0,0.0,5.118958619863032,0.0,2.567202245378682,0.0,0.0,0.0,6.636297199746707
CD4 Tfh,0.0,0.10101065812932232,0.43068242956151565,0.0,3.833486592061864,0.0,0.0,4.283245541393692,0.0,0.0,0.0,4.503255456202801,1.128611576463415,0.0,5.6528884185715995,5.526189861874521,8.777851478541947,0.0,3.179981623305276,0.0,0.0,1.6496559799699697,0.0,4.416828655827299,0.0,0.0,0.0,0.0,0.0,0.0
CD4 Th17,9.853917120209891,10.815988612863864,0.0,0.0,0.0,0.0,0.04367957524380296,0.0,4.485730236377564,11.854127925153728,4.976161001766824,2.3101941611249477,9.640224912092414,7.834879371560271,6.237232753754252,8.641005091755188,0.7047960415378118,10.148592783338186,0.22729003155565453,8.830458499068783,0.0,8.322282229559757,10.222983564732651,1.8980740200827235,9.662648279516711,6.779801194910238,8.604388288141239,6.09397436956495,0.0,12.058137833326514
CD4 Tph,0.0,0.0,0.0,0.0,0.0,4.109997295628075,1.699829874502031,3.1593919353202113,2.786648233634443,0.0,1.1094711663656456,1.0983442371280132,0.4468723490253761,0.0,1.8225952130249838,1.3635117747609364,0.8585924115063226,0.0,0.9994617878673371,0.0,5.574142154729382,0.0,2.5115918016199554,4.924347755675972,5.115674406334649,2.4335102609734083,2.1375898484758338,5.096217236107169,6.0735625265641415,3.7089633703026634
CD4 Treg,1.3445144507487699,0.0,5.591893848077591,12.788891857622128,0.548829733351251,2.2817119959759937,8.805176411722622,0.852482028471915,9.238642507923158,7.784292352618932,5.44280412495237,3.5791343795801853,7.828540171124809,2.556010252973482,3.144649737756592,0.0,1.9539423360470278,7.805352178845062,7.223487666484811,10.392101767735022,6.847682680083243,7.671335538308035,8.714880019237489,0.7858607207147438,2.568734549952679,2.205261070205986,2.323168331592546,0.9539991198904524,3.7171211601649565,0.0
CD8 Effector,0.5440945424576609,0.9951482570927036,0.0,3.8929088934421263,0.0,4.445818889086894,0.6822480370495394,5.304592279975113,8.893540608880915,4.062824848066838,5.025274614030165,7.861135717754493,6.42686711939397,2.2143868277342778,7.687271711917594,6.749275596271855,9.633248657827103,1.5818721042924695,7.800010662579513,7.403584878428441,8.491916317587519,6.819267441467823,7.517647230197379,6.7125277366991405,7.831000914274738,3.982580885161333,6.342469985547036,5.684960782362354,3.7553232173184745,8.987954375605009
CD8 IEL,1.0751263471578505,0.0,0.0,2.075175645132241,1.1899484430605989,0.0,7.585703262836679,0.0,0.0,0.0,0.9941209914023261,0.0,0.013374302480231838,0.9425806223272049,0.0,0.0,0.0,5.7560300259170765,0.8249669853223124,0.42186549880670043,1.1270622175203557,0.0,0.0,0.7976447834072846,0.0,0.0,0.0,0.5543166550305446,3.3885095008959256,0.0
CD8 SELL Naive,0.6611005763616141,0.07744126372587617,6.034740879453456,7.041082201568971,3.023199085770505,0.0,12.020979826138637,1.3620265819464092,6.995877427078012,3.182400240451778,1.2047724098848547,5.118575427728182,2.759272188102135,2.8903233547726246,1.7830752354758321,1.7246004220188471,3.6436215957661484,5.673496320475839,8.415660232990566,9.505561830957777,6.1496412234427655,1.192216119077,2.232411178136217,10.479683744454698,1.2491340579323449,7.554773730973754,2.631284084525707,2.8212255344106216,0.0,4.898119626120042
ILC3,0.6135637298951546,0.3715405853533835,2.486232821780158,4.227412921886643,4.119285368345837,6.571935628573447,3.5055929382196065,2.146499008331082,4.6564836615712535,0.6231404834730025,4.723364696234609,4.38055311947199,4.523678251105998,3.5732996705969327,4.539598152606927,4.299698029196851,4.819784012969934,2.171254171152066,2.919278847062675,4.78423881155881,4.897076103304092,4.506405878664483,5.043908880243053,4.839642458807446,4.258315136607508,0.8532109839947304,3.338267949574277,3.819254939012314,7.670312271650531,2.7942729265380146
MAIT,0.0,0.0,1.8505466273830453,0.0,5.794458872828396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK,1.2425327449428716,0.8183312408806132,0.0,2.286315644857911,0.0,0.0,3.290823328120582,1.9771991913595737,1.8269003952035185,2.160018529734143,2.686883991334726,2.414352516985481,1.9649164543146889,0.0,0.7139136004308969,1.8447681607469422,2.0012499148896503,2.022567293486489,2.4543109113864654,3.150335403874126,2.672961155607171,2.3591534941386527,0.9541236116719211,2.699177180874565,2.5339290517675166,2.3262546998324987,0.3661270333689383,2.4604355794067003,2.0061368722448325,2.1054399069159424
Proliferating T cells,4.272938140224249,4.0393008805795825,6.689727297773654,0.0,4.601557615107829,0.0,0.9030419214488954,2.3531936643043054,0.0,0.7042124288291449,0.0,3.162950462215428,0.0,3.742594891778517,1.8407114320334994,0.48063062711017257,0.0,3.6549484867318287,0.0,0.0,0.0,0.7676471314804025,0.0,0.8321027739845629,0.0,0.26402385253428023,0.0,0.0,0.0,0.07831053469683927
gd T cell 1,10.995874589168272,15.05172829754441,2.163284433315297,0.0,6.131661032274574,2.70876162341481,0.0,10.55422063903053,1.2003769966538957,15.583436148538174,6.0154074465706096,3.9284942410463453,6.368242204816739,9.169467435282666,8.001464336633642,10.010611669449464,2.1100279584331685,2.938714526048722,0.22116719160625592,2.965470598699769,0.0,8.189241173823284,5.414981400324207,0.0,5.792536535635582,10.338679980688728,9.085307353517692,5.030859922682026,12.228719116670177,10.8287463350658
gd T cell 2,0.0,0.0,0.0,0.0,0.0,4.643984232422379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
