,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID003364-1,0.10050862806715359,0.10605241608112809,0.09002574421174925,0.0028370207701606687,0.3719207819665735,0.32865540890323486,0.5759639736846048,0.3454726742662628
CID003365-1,0.07003282157335926,0.10787417119597673,0.1591093896685737,3.7006174505093893e-06,0.2825930414401719,0.380386875504468,0.5751139009820796,0.3367307506735393
CID003366-1,0.14859841754185635,0.06115118098948968,0.15289614074538224,0.0195867060590322,0.3146844873703733,0.3030830672938662,0.5805871199907133,0.3818846739894781
CID003367-2,0.1492292018237179,0.024117431477772667,0.09939729413272284,0.03271616332530815,0.3212968663851461,0.3732430428553324,0.6323458196838058,0.37859562249420864
CID003368-1,0.1318698407259383,0.06076071645222993,0.12025413782368727,0.02517578277409482,0.4275655939569967,0.23437392826705286,0.602064640175792,0.3747778165079443
CID003369-1,0.10989875517380339,0.0949130925168658,0.13884656865326864,0.01299237362850077,0.2981030570184455,0.34524615300911576,0.6018753788807057,0.34792478064262844
CID003370-1,0.14754432788124472,0.04438923303177479,0.16165662676308468,0.027192761174576436,0.307113272040233,0.31210377910908643,0.5587273597501071,0.4251568780051641
CID003371-2,0.12441039248434667,0.10376263940033614,0.11720805068386335,0.00791200830169326,0.3089788382750791,0.3377280708546814,0.5460920209668025,0.33098996352741383
CID003372-1,0.10898828369597532,0.008134120395736837,0.14265400145941912,0.0660865349050264,0.40783442787874274,0.26630263166509965,0.6224255804016522,0.36615654285889054
CID003373-1,0.09744186756515344,0.10682894107668461,0.11857643001890104,0.00252220351709512,0.3014436013665654,0.37318695645560046,0.5553400375995942,0.11483957784256194
CID003374-1,0.021449185087498254,0.2086105259332872,0.1652830780483759,0.008528783320733131,0.19892554943037916,0.3972028781797265,0.41431878042940373,0.43607726067971153
CID003375-1,0.07289392511790892,0.10982070572017752,0.14655328919127164,0.006489411529907629,0.2720948305267539,0.3921478379139805,0.5540198735320687,0.29346022363294155
CID003376-1,0.09991486124910876,0.0999171523299473,0.26231479528825724,0.005583335858824319,0.22265509476947498,0.30961476050438735,0.5203879544221378,0.28397954888409394
CID003377-1,0.09000676064168031,0.08457342051038019,0.14512261202005058,0.003636890194044664,0.3127574926717194,0.363902823962125,0.49363844805107226,0.30801107434330155
CID003378-1,0.060635321862401635,0.25690313394280523,0.2254487136140902,0.008428197126410386,0.20771557931598408,0.24086905413830847,0.4482947308835322,0.3057872524297236
CID003379-1,0.05007311752656099,0.07070889240110663,0.16178925694818408,0.028566337580354883,0.262399366061344,0.4264630294824494,0.6046671242278655,0.3075199602372467
CID003380-1,0.09821990780105974,0.08277866399838972,0.08815639926586614,0.00971639874501999,0.32472743936254117,0.3964011908271232,0.5718693858540156,0.30475195484475015
CID003381-1,0.10100942285796724,0.06538247309401779,0.11450938849251928,0.00953729382597803,0.33099862222262616,0.37856279950689137,0.5765174682605875,0.3252913219531617
CID003382-1,0.12315693456027674,0.04630042832444783,0.1067483329961198,0.042752137504920996,0.3195972202711419,0.3614449463430927,0.6149803027161518,0.3360213815834736
