,CD209+ moDC,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,IL7R+ Activated DC,Mast Cell,Monocyte Inflammatory,Proliferating myeloid,Resident Macrophage,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,ILC3,MAIT,NK,Proliferating T cells,gd T cell 1,gd T cell 2,GC-like B cell,Memory B cell,Naive B cell,Plasma Cell,Plasmablast,Arterial Pericyte,Blood Endothelial Cell,Fibroblast,Glial Cell,Inflammatory Fibroblast,Myofibroblast,Pericyte,Post-capillary venules,Proliferating Stromal Cell,Smooth Muscle Cell,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Goblet Cell,Tuft Cell,rho_Spearman,rho_Pearson
CID005422-1,0.0015073551385507138,0.07735606941481184,0.07679740598822682,0.0002899742492560213,0.011668697572548663,0.00016529740303163792,0.006652940481923894,0.00013520473713730957,1.552797538532021e-05,0.0628058894385317,0.07717459461332317,0.05158749953329741,0.0010384645089060965,0.0006226026099889676,0.07391978993847674,0.00030261044575121955,0.003317401023206132,0.03228029946547796,0.00015084420239442012,0.001341790869455375,0.0010959724564518667,0.001391430071298855,0.0003198625230523078,0.00017219335308671745,0.06892363401548708,0.05944129884972766,0.00023720222446019918,0.002719505310490175,0.02031110439568474,0.05538104991977765,0.02521755006167866,0.008599761444151598,0.012984407941579882,0.00010581101959590065,0.001788567965752728,0.009117420544670839,0.02145831224853201,0.0005867647673172599,0.0565392592393304,0.001716711738092344,0.030894121674027913,0.06271663540084348,0.07660622564863262,0.00030187409347508666,0.0022430634831208393,0.7298632043685822,0.3502560151211488
CID005424-1,0.015039811925953685,0.06888775796071431,0.06476827178402066,0.0020374623740898375,0.016938331618048738,0.0034040868037172067,0.006018866395181844,0.00039668257513586784,0.0016766246564016629,0.06715280552532987,0.04534822006099204,0.03261193110688118,0.00012600675406268739,2.9028990675835522e-05,0.06570376106126491,1.3972874061451094e-05,0.0005401456908203711,0.019548531210760653,0.06903842145102607,0.0007428938264326598,0.057078527940490835,0.0009702233612548753,0.003149574700865699,0.00030399621632181886,0.06594358872500586,0.04064986616890151,1.1346610837559185e-05,0.0059757531591752636,0.003199089158603792,0.014858316219168615,0.0627971801565553,0.004771870213772629,0.014432548849616898,0.00033535580352700206,2.661670367567179e-05,0.002323692762115746,0.020261531127317517,6.029504173707204e-05,0.043061782600869375,0.00419502758905549,0.034688212590373954,0.0684192036619258,0.06771633737884243,1.2790574551404006e-05,0.0047336580398664434,0.7325917593979969,0.4088970306567934
CID005425-1,0.022703555691851646,0.12065216087903763,0.0002199204124026459,0.0017609002748956552,0.0011873760872639755,0.009755625877927906,0.039892198508734066,4.659170816384457e-05,0.000767547551082045,0.02487143940090748,0.062458152870453865,0.026945823853571874,0.002830435413268091,0.0004966511636403142,0.11961535762347567,0.0003970161569072103,0.0014816305802867998,0.0012110466672559292,0.11411562028192754,0.003443573452534231,0.0009976568821866301,0.0017764057934224271,0.00015575675177078801,0.00029580706161585205,0.08149840361396707,0.00706187990764685,0.006911888429734124,0.045260899880179416,0.002284259273651316,0.04796947703980471,2.743947027910051e-05,0.004322023606713176,0.004023049770961055,1.6031583369683814e-05,0.00932062786753116,0.09119647755959884,0.0019355390763420618,0.0002498058744697135,0.0006556239290536603,0.00018957239341802984,0.12099939382335215,0.00015815785277112392,0.007976993740665728,1.2546761575815769e-05,0.00985165760033123,0.7696668506264651,0.4045630952579693
CID005614-1,0.016569087973001544,0.08110292992171955,0.013696365251006705,0.0004870935631487766,0.010890039827720391,0.00027212214572826417,0.0025778825925791195,0.00030433272483073817,0.0007218711757580184,0.0812244485405556,0.06799713237001831,0.08274971023787536,0.0008336766713314789,0.00043281501303844865,0.08356501273019465,0.00019193464523518846,0.010346688914782496,0.012830481825135022,0.06401236485031211,2.3824747274600534e-05,6.190821791688182e-05,0.00047490287765163466,0.001656014893683309,2.7425181184135267e-05,0.0767354696056685,0.08407741377671218,1.4014904184702866e-05,0.00109439997478257,0.0052922974385866154,0.011620403233802404,0.0814443274043983,0.015676226007210962,0.00033386194412506374,0.010302876165453088,0.0028849537142928705,0.006837725235271006,0.01930348852902068,0.0003580175917913346,0.0009340172803363807,0.0019301681020391331,0.058451898121474236,8.07548257958196e-05,0.08384880570008132,8.12527310743895e-07,0.0057280010259798285,0.7125824736649805,0.3868662662639544
CID005616-1,0.002796858819243779,0.0982162781750137,0.09365722471261366,0.003404603759272773,0.01291974831725482,4.046012438518562e-05,0.0012473721017940392,0.0009334235099353449,6.939381421142871e-05,0.004892266284451272,0.09751060276609656,0.008588761401937843,7.625156813430653e-06,0.00014727725506484695,0.00019050798630880527,0.0003885543245985528,0.08964103639818477,0.009452948183645083,0.09747471298429343,0.00035449216688860995,2.3331042355332706e-05,0.029100820716667603,0.04974456846530244,0.00014866944480622235,0.09356189951753788,0.0015057562341784468,0.0007212295665083486,0.023019245326244518,0.02316139455542012,0.003510569859499606,0.027280404358472232,0.030311901027145368,0.0017791066048376835,0.0035561823677083015,0.013716648684054245,0.00034897560932950386,0.006709325433269033,0.00016971670581457675,0.07008263984954258,0.0011776602802682356,5.019833620469668e-05,4.538984947028228e-06,0.09711155333221656,6.277568478137984e-05,0.0012067397708801502,0.6952389270823662,0.2817706948133658
CID005618-1,0.01422916745680843,0.0934815487778521,0.0013118787658903586,0.00045197589137193316,0.016691173358518087,0.0014286826035497771,0.00424292994938097,0.00022565380692042062,0.0006636925582076619,0.052801868678543716,0.06387485950156326,0.05823552978318323,0.0014086707937937097,9.774475668866745e-05,0.06889556989464048,0.0007896537813528894,0.000221887184217941,0.022390196354810588,0.08082121244845528,0.002569741285762874,1.3882700276339454e-05,0.021358548151557848,2.0016208161785145e-05,0.00020598944368912224,0.092121620748539,0.09348072688959146,0.00015612262309527006,0.01286815977101957,0.027314547503358145,0.003343071987128279,0.09322275863841445,0.008934470265642933,0.004022735429851511,0.09102224828390289,0.0012342536643816073,0.002005066059290813,0.002145519466581453,9.768950607509923e-05,3.564870072773098e-05,4.797278426683156e-05,1.8554553013033877e-05,1.0394653700625537e-06,0.05940485845865444,1.2303467305226943e-05,0.002078557598592984,0.7334876649115976,0.4281797758462842
CID005620-1,0.0036571389632593194,0.11041943650502643,0.0059200489340863055,1.506349068743035e-05,0.023682901519966795,8.067720335500076e-06,0.007765176659283744,0.0010270667836754332,0.000725606783522371,0.10878901114921521,0.05657181571211124,0.02087896219322969,6.41393228301183e-05,0.000522392454988794,0.11037043338448399,0.0005710861746261936,0.010654373732179553,0.00528711458212014,0.11028675903569236,0.011419304343856079,0.000699642439009595,0.018166647916747287,7.93583252835443e-05,0.0002009240943645869,0.05237198603125362,0.11044895667071436,4.254108195066029e-05,0.008193072540042399,0.015146184937734498,0.006160823722916398,0.0003691377243724052,0.011579316266663559,0.025805733201147058,0.0009914395108093828,1.395417799052975e-05,0.016240503863273442,0.033161769117091115,0.0009739884755369119,4.4831374124632524e-05,0.00036792578909047597,6.918834990310485e-05,3.3147915736023075e-05,0.10715375225299541,3.063971502989668e-05,0.003018635061042096,0.7696117516289377,0.36767859927612745
CID005844-1,0.021144973893922357,0.13510360783116887,2.1543340870216182e-05,6.0580010268042255e-05,0.01047392086102936,0.00687848461527542,0.01312750203436648,0.000492295417893557,0.0010077818319607812,0.00819279444688005,0.0003360987614981387,0.121799573573612,4.321084274366527e-05,0.0010466504338009224,0.14622465328356055,3.227327057056783e-05,1.3308087360154792e-05,0.011963943481792097,2.920310561405809e-05,0.0011126228994932496,7.13846620734755e-07,7.20716450604634e-05,5.890326795515077e-05,6.662187398077842e-06,0.08462746924267116,7.341312744392615e-05,0.0004627709489881581,0.0008730185869044168,0.051545212428961075,0.0013044298870971776,0.0003788507487109301,0.02134335623516149,0.14667333235117158,0.026204481737809315,0.02238599677679447,0.0022301453894016422,0.0006901338931657666,0.011601041409709328,6.372900402111685e-05,0.00021946679395153616,0.013128291244414536,0.00015594297217634578,0.13525271829361876,2.49065467643526e-05,0.0015179194103479752,0.722517302634452,0.3622324228984548
CID005845-1,0.00763088879397394,0.05640432849703493,0.058047955089677486,5.7075432451188505e-05,0.011515182928034601,0.00737439758745473,9.980794662799243e-05,0.0009302921407061343,0.0016914120079647257,0.05238463473301034,0.054280018607371645,0.056044953343209136,0.03785301242270035,0.016939056996688014,0.05550840065850726,0.05777229246821905,0.05461217226220982,2.9187556862193663e-05,0.05252487532389673,0.009182277017157086,0.058182461704474796,0.0007175085520302231,0.021614204676422194,0.044634060497677173,0.05310128856931504,0.051067695752129626,2.7226271517655984e-05,0.00010149167875690488,0.002158192756272344,0.004191904191445212,3.5825339975986874e-05,0.020098810699015174,0.0008872334830108623,0.0024643844816158865,0.0011494567796138523,0.0017364200601046062,0.0005634236182946938,0.00033810493473176344,0.00014618956851086977,0.003426363688546069,0.03275039332747738,0.0018297294920130098,0.05726025018646468,0.00026276547749573515,0.05037239239933078,0.7358034019940599,0.4851120984727664
CID005860-1,0.011330792294192425,0.168525259719093,0.0002548324352389089,0.00027741583123003325,0.012285106329100013,0.0029885050630980244,0.001260158354007827,6.365853212714964e-05,1.1937944696923234e-05,0.014688239327099324,0.12339948165875493,0.02856883761756407,0.0003939618959397464,0.0005815144919528884,0.005843983924894745,0.00050129211050365,0.045602635075789356,0.02599111701055471,0.004840421828247927,0.008779278271463877,3.264700832206384e-05,0.0005723855979992017,9.680154586961605e-05,3.7787501544121334e-05,0.08749207827235016,0.004640273264245762,0.018321293657665872,0.0009236232547798011,0.01932904801233901,0.008095216692262227,0.17518932699115122,0.06709965204838951,0.0001432424448609472,0.02616809702028255,0.0026955690394256846,1.4657064284225906e-05,9.887081526910966e-05,0.0006199040883196383,0.004214058228510575,3.67573325338985e-05,0.00032772041043851915,1.3817976345793687e-05,0.12717372035780905,3.1435103848702254e-05,0.0004435865556033026,0.7182050724758832,0.3548143127920357
CID005868-1,0.00045211182516710136,0.11586235381619277,0.11540562382417845,0.00023029087587827417,0.0005155605537641865,1.859619394025791e-06,0.0005119560476383481,0.0010639296273382238,0.00017044537714724507,0.00029962727530453,0.00013483902196670917,0.04611243692339057,0.00010236764493904896,0.000782659403530163,0.0995471133573882,1.9060860823749872e-06,3.226630871903946e-05,0.006166936722221541,4.922761169958917e-06,1.233655894354654e-05,0.0003212565072484643,8.67696227757555e-05,0.00010112525869636745,2.94516163577751e-05,0.020553688862299715,0.004457465291506407,0.0004678240604422829,0.09324033400963624,0.009850432618322925,0.11286568914361396,0.0001256890284946995,0.0015013572455239575,0.00981783882328754,3.6803307662256104e-05,0.0037704779888578835,0.08069853801509085,0.022274960728435916,0.006674004463006137,0.0001389978126412544,4.214273825789244e-05,0.11332331628814465,0.002492280239649895,0.1112902281132072,0.01768455840417164,0.0007432261823141055,0.7489050173466811,0.3451930803662686
CID005874-1,0.014504952218721242,0.0886986380358434,0.012809437939808077,0.0016306839280486223,0.012189231250390013,9.078896514543806e-06,0.005282560322147065,0.00019271576408304509,0.00032349191456010443,0.08615167205053198,0.09013781327483271,0.02629553170369208,0.002017386505332173,7.468448980325395e-05,0.08904933448345873,5.414742324093088e-05,0.005837656824684737,0.01189752442501284,0.08938651678111742,0.0028488822865051456,8.988735817287134e-06,0.0009794997843234024,0.013434992881481244,0.003007834625199759,0.061691171208579,0.08986055193244817,4.7875244181992475e-05,0.00015425498845871512,0.01914780905875625,0.005709374364950753,0.07110337814477853,0.009214313837745711,0.041368767242727957,0.000773265450677301,0.0005650358112004061,0.00020647285764437408,0.0041386994307218575,0.000607513570935508,0.03998561586353678,0.0012726624868856333,0.01764401310896447,0.00037062479440380956,0.0749027453691026,3.762949193828781e-06,0.00440883573895651,0.7503516091751387,0.4531656174757134
CID005875-1,0.006038299911983049,0.08384292767108158,0.07087908097784691,0.0016356631003913138,0.014440925878783884,0.00039389445062311927,4.42807626479112e-05,0.00011434325624299129,4.830640983596066e-05,0.08330960699206223,0.013564642097371243,0.08286130202998215,0.0014497143285842565,0.007106715064542508,0.08382157815396696,0.00017971978402873116,0.004140085654634501,0.02711510844578461,0.055403587067494035,0.00010178318743337595,0.005296045156247073,0.03601851213154677,0.000306976134089499,0.020603966294817876,0.0824701137069651,0.08385399511594069,3.9321863113063495e-05,0.047813598716533116,0.027943063541605005,0.01121730035300161,0.02088342296856043,0.009358075691575903,0.0060882921733504194,0.0009072599382838635,0.0006655337571652056,0.007670451465073752,0.00565859428691669,0.003608996461883141,4.2189343140344845e-05,0.005936510327426842,0.010167281198598995,4.3863011008810024e-05,0.06984645036150804,2.3313600491245902e-05,0.007045307175835033,0.7352957966403345,0.3914343255443171
CID006320-1,0.012066655961365257,0.08528958668560212,0.0039498516327516895,0.005461322501893907,0.018276198486225796,5.1472959012267695e-05,0.006021818810384259,0.00024345442792397232,9.535372452572054e-05,0.0822207585348188,0.08362125012967803,0.04023219612037585,0.010087454798979876,0.00022681986082803484,0.0852189598609697,0.0002098115092402648,0.0035454887933602567,0.021862843541351266,0.08534899581956183,0.003983852510450096,0.00037524019738130286,0.08225157514830295,0.000199338434212661,0.0002000565694963763,0.0853614155257094,0.0032697836887492643,0.0007747422992340159,0.007511640152716555,0.0455979452009814,0.03445944112639571,0.004942060393824237,0.024806907224368235,0.0183010726990588,0.002473367303283313,0.00017007604675148825,0.01647006233222597,0.015439513970719142,0.007279782474602187,3.600937119819604e-05,7.565787109354361e-05,0.007144312948086999,0.0002011160463684386,0.08444918177775104,9.916153567055959e-06,0.010185638374622703,0.7599225504051754,0.38962487822650393
CID006322-1,0.002996859404944827,0.11557135541542853,0.1020815087252223,0.000652061994978535,0.009980159325951827,0.0005746086587054264,0.001281921860263707,0.0004199414484782732,0.0001358891037403053,0.044072565290643746,0.1013445833141002,0.023485432878616718,4.649649448800176e-05,1.4079748114024736e-05,0.0007610428938671649,9.859553620658306e-05,0.028233195745958155,0.018230178095957675,0.1133787001805774,0.0038445462208913624,0.00038577169454985207,0.00041066045021335165,0.0022703451946992225,3.7456118158161364e-05,0.03444367449829893,0.07191321112494471,8.986777424568723e-05,0.0002832398451668353,0.003782800097565003,0.01419015444678247,0.11520888675811247,0.02066848740348255,0.0011193070154712033,0.003691872129989925,0.0002142547583735014,0.006854921712427169,0.0223566297008943,0.001470509099467896,0.030637956748317766,0.0008337352287357035,0.02029737046488091,0.0005868365370853472,0.07307631158951003,5.1768387686398145e-05,0.007920248883806214,0.7225518179299691,0.36321716501337176
CID006328-1,0.002263394081377814,0.14408440076446286,0.001027802659290352,0.00019928990650241055,0.014355861729387544,0.0009226221901252418,0.00031899183079590003,0.00018460752928345372,0.00016375456285079847,0.032966685521959284,0.00598771386249222,0.0997079128662211,9.191808641914212e-05,9.847917252598948e-05,0.0505541003271525,0.0002615671392165743,0.0003133040631152812,0.017931172337187797,0.00013130705749555136,0.0017266918348483836,0.0003519317009610464,0.00024930459382345785,0.0005040088434740784,0.00016848353644933727,0.07352708361564135,0.011657145631700427,0.0001009145459154437,0.0019337675153890301,0.026101969767656073,0.14421762603023328,0.14412172322424424,0.01161872113391178,6.600068419374561e-05,0.0037349393164097843,0.001006157149235749,0.055469679621753795,0.0029704112840443896,0.0036084489639376183,6.45079503051338e-05,5.5776644504382144e-05,0.020991789978172685,0.001222128252334302,0.11966431344332931,2.166559177108616e-05,0.003279923457898557,0.7319424860570648,0.38213802964161925
CID006331-1,0.044684508246077004,0.07468392651286795,0.0008944466760937733,4.640537617396952e-05,0.015488626687745333,0.0002715007951840992,0.007475376856001884,0.0004495781814793854,0.0001409025699825578,0.06128135521215773,0.057269389044238395,0.07445197677263163,0.0019467249526640877,0.013072220981465111,0.0745781895788801,0.0672298245503466,0.06432253575479305,0.0009187601012344758,0.0744716382607656,0.02504156438676696,0.017029070408288785,0.0350588315494417,0.0001498884020910072,0.0008750304251448053,0.07109336253219681,0.07245546303961524,0.00023015364218653312,0.00021407699988409273,8.907921543736298e-05,0.019981790464903906,0.005970154202718615,0.011736017720605832,0.005037637908679175,0.0026019854833776545,0.00028762412877456935,0.003581308410006651,0.010205004196435523,0.00110874877574643,0.0003347626611379076,0.000576696669041318,0.00573226357098655,0.0003699801918270043,0.07410391477449256,1.0528423502576236e-06,0.002456650287079987,0.7330818897649195,0.4161865290073792
CID006336-1,0.0040237519671762504,0.13050869166871162,0.021187397338272844,0.00038875040724000256,0.00568994759202088,0.0021489729703101897,0.00029321323957199534,0.0001228916372941752,0.00015315449819327718,0.13024741625010855,0.07412013343323459,0.010576796960887473,0.00032081442425639764,0.00034613140763670636,0.0475538189434101,0.00010264092535879577,0.001420251137366314,0.01186057997861615,0.08594381854869979,0.00018218637373686213,0.0003351499282951532,0.006672249506104565,0.007779747378820723,6.972074605516215e-05,0.06396521916934293,0.0032326161558108427,0.0008075594735253419,0.07947888879582804,0.0014470784589021288,0.019591975593906057,0.13062608842892767,0.012472278252208807,0.0004582517119590528,0.00732059357170539,0.006793994846580832,0.0035271689740034727,0.0006939006588757476,0.001427154509873644,0.004294934871217461,0.0003979268286285538,0.0004556509673549774,4.9043344690608045e-06,0.11933299585081221,2.0408628753938774e-05,0.0016021826559353032,0.7265163841473636,0.3151061388742904
