,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
Non_switched_memory_B_cells,0.0,0.0,0.04794536162612254,0.06752291670657933,0.008212104308192367,0.0687033828114702,0.036352035086496925,0.08834409116442585,0.026987269909884575,0.009475251418185922,0.0335797455924674,0.055246656846006305,0.04762550854436428,0.018626943372040464,0.09414615491463736,0.054040037285285544,0.0490190995152736,0.04120499923090929,0.026327582854573584,0.07297239448336505,0.0602727239833793,0.03895851929519696,0.010395236174672116,0.06354635903894876,0.04693287761446925,0.02977861597750229,0.04180423078995889,0.02682913702655027,0.04993807417140251,0.002583025217610615
PDC,0.014581035922452077,0.011109089052998483,0.0020223778399409394,0.008620969542785633,0.017212203243587063,0.016222078361064523,0.00257801523862307,0.018548632384878114,0.014837354431118856,0.021398307531458924,0.012834489137963713,0.0018251094902097303,0.01280130576802102,0.01847685372475788,0.01115105805882895,0.014075158592286072,0.018798719755942085,0.0,0.012447629264427468,0.01042594123456524,0.008265106153908493,0.012063967016931451,0.013502947983493977,0.0035907452709477198,0.015386363164784521,0.010205157281344728,0.015725251325690255,0.013311969746169603,0.01066795951428828,0.012078862810131178
Plasma_B_cells,0.01062698695252606,0.012285255175169343,0.005117368663681417,0.014332033741616443,0.013931959664561637,0.019126215906473926,0.00962450637783802,0.016418934705613664,0.010810735787209381,0.006583716135170713,0.010046269719864743,0.008872592219290125,0.006920906442218649,0.009451667063935328,0.014455938832313737,0.014115376655938757,0.011342731739825892,0.011583410662407851,0.007114230846342528,0.02193453911773889,0.01257259223100296,0.01034918961780706,0.009464480521821016,0.01505065820630178,0.013777762369820232,0.008068462785017421,0.012358184706864974,0.009579459799008894,0.013052930871871007,0.00611170124333508
Tregs,0.08592800337189091,0.10493600428671243,0.06307023355772719,0.1254237763170775,0.08276958829813127,0.08786385212694689,0.12039280924706768,0.08722026037461196,0.10629036629741033,0.1247236480140974,0.07080782912056201,0.08039190903488619,0.10202932889242543,0.09207361190533601,0.0873387762122171,0.11117108333448508,0.06257608185073812,0.10937907935706818,0.06867860212005629,0.10804920155085307,0.08696600348350182,0.09588336671740581,0.13944874592367118,0.1340267245300383,0.10954213204274364,0.1043459853905901,0.0902590932504526,0.08499324664850991,0.11251968522696096,0.10015950073243576
Non_plasma_B_cells,0.15855703706728377,0.14611411414693282,0.11217251153513846,0.18883249975787259,0.29156444409075666,0.23167496354018458,0.16270508483558144,0.24945343358585823,0.14670273081007085,0.07662883164455117,0.16209213784532278,0.15827717376208256,0.12951872181762697,0.13966266240500452,0.27757613089752237,0.1931920753267124,0.2018318432287829,0.16997307513932808,0.17925510560089428,0.19574900670336948,0.17766206447486133,0.16341784660842626,0.13235798712023025,0.23696650228556182,0.20732398901232668,0.15825328584262988,0.17962689864959513,0.14134385363774468,0.15228524533070154,0.0836952986409512
Monocytes,0.00860732661606492,0.010092432968400431,0.004527604903096281,0.0020158089542788053,0.007937773787124942,0.011889085681113477,0.00400191642381879,0.01111285962467557,0.008469199273457803,0.012860118643306603,0.007674486537410643,0.005308642193813281,0.017851279816576682,0.015421308784844075,0.009039872502415877,0.006397088451047474,0.006729796095835532,0.010168088927945247,0.009355280068373913,0.008764447719529604,0.006903762341925301,0.00820945853363226,0.008232670955275004,0.009907146163023607,0.012103467784692297,0.013607911489005187,0.012987475098095193,0.009476389083028662,0.010276899489419044,0.008456371853385857
Granulocytes,0.048149295352709856,0.054720222029985645,0.13178577789614807,0.06429527646159212,0.11442210228506916,0.06685539169541004,0.06611140625665582,0.11029797556509498,0.06888203777523258,0.0943455267490096,0.08519712265971333,0.03215110393715572,0.07937118784264408,0.08459045044163649,0.09534341399315349,0.0832866798851137,0.08153076657576679,0.06064872286421902,0.0728525146279873,0.06047302635908284,0.04909960653343774,0.08687548574550219,0.049996875764548594,0.10582673358840854,0.0770439152178892,0.030996452232954802,0.07241831470357965,0.09473836633845778,0.06824219595577986,0.031844216823039326
CD4_T_cells,0.08592800337189091,0.10493600428671243,0.06307023355772719,0.1254237763170775,0.08276958829813127,0.08786385212694689,0.12039280924706768,0.08722026037461196,0.10629036629741033,0.1247236480140974,0.07080782912056201,0.08039190903488619,0.10202932889242543,0.09207361190533601,0.0873387762122171,0.11117108333448508,0.06257608185073812,0.10937907935706818,0.06867860212005629,0.10804920155085307,0.08696600348350182,0.09588336671740581,0.13944874592367118,0.1340267245300383,0.10954213204274364,0.1043459853905901,0.0902590932504526,0.08499324664850991,0.11251968522696096,0.10015950073243576
B_cells,0.16918402401980984,0.15839936932210216,0.11728988019881988,0.20316453349948904,0.3054964037553183,0.2508011794466585,0.17232959121341945,0.26587236829147187,0.15751346659728022,0.08321254777972188,0.17213840756518753,0.16714976598137268,0.13643962825984562,0.14911432946893985,0.2920320697298361,0.20730745198265116,0.21317457496860878,0.18155648580173592,0.1863693364472368,0.21768354582110838,0.19023465670586429,0.17376703622623332,0.14182246764205128,0.2520171604918636,0.2211017513821469,0.1663217486276473,0.1919850833564601,0.15092331343675358,0.16533817620257255,0.08980699988428628
T_cells,0.13859842441282164,0.17735493884700315,0.11922575346042628,0.19175226638439408,0.19381694332345084,0.15504686428487108,0.17583963941385322,0.1591527308591965,0.17507191238539288,0.1890266622497101,0.11657509151561743,0.145532592542297,0.1685079841580137,0.15012211346372023,0.16127644944879313,0.18081693264214427,0.09439834103355688,0.17733915537245373,0.11026725120218607,0.17432328152727516,0.15076952298753382,0.1653131704293484,0.20514730672908144,0.17666615180854334,0.19754809378954208,0.16544808605137062,0.14548295727774066,0.130711876569873,0.18757881655202369,0.18951718868856626
Myeloid_cells,0.07133765789122685,0.07592174405138456,0.1383357606391853,0.07493205495865655,0.13957207931578117,0.09496655573758804,0.07269133791909768,0.13995946757464867,0.09218859147980925,0.12860395292377513,0.10570609833508768,0.039284855621178734,0.11002377342724178,0.11848861295123844,0.11553434455439832,0.10375892692844725,0.1070592824275444,0.07081681179216426,0.09465542396078867,0.07966341531317768,0.06426847502927154,0.1071489112960659,0.07173249470331758,0.11932462502237987,0.104533746167366,0.05480952100330472,0.1011310411273651,0.11752672516765605,0.08918705495948719,0.052379451486556365
