,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID003373-1,0.012411461661399845,0.23551110748107168,0.06261309744701675,0.1766225969072132,0.29160382285102765,0.2212379136522708,0.6945526371983771,0.6428281457443444
CID003374-1,0.0009389157289771529,0.616254679137144,0.00621308383677308,0.11964444324294932,0.017489189094248573,0.23945968895990788,0.7477203241909124,0.6284881286602491
CID003375-1,0.0010900209821946844,0.20639708263480314,0.0396232934678209,0.3689504582828698,1.1759988550959824e-05,0.3839273846437605,0.7656342182890855,0.6111565854673348
CID003376-1,0.0011176561988024904,0.09140907508868365,0.06549357615799874,0.3831584431563113,0.007001645812822492,0.4518196035853814,0.8001904101409815,0.6059195732446663
CID003377-1,0.023144873376339272,0.16131467507967148,0.23517588475593967,0.20549964795687323,0.1437319105912801,0.23113300823989621,0.6567873158231903,0.5553426749917466
CID003378-1,0.024594699185644924,0.5441090363646215,0.0005531446951295349,0.15839259477275525,0.08936660683732764,0.18298391814452117,0.7844352885239195,0.6380262560243172
CID003379-1,9.976623651661964e-05,0.3054472849608753,0.0204619874447054,0.1847051043626063,0.14047350896432428,0.3488123480309721,0.68829489643391,0.575662864542521
CID003380-1,0.020273038084349115,0.17705650552632182,0.05011202724735901,0.12968668698184704,0.27877112533420967,0.3441006168259133,0.7242940496146998,0.6558069003206707
CID003381-1,0.10708034577067532,0.07965584842205649,0.0835706193513939,0.1926434248491546,0.5100587741368751,0.02699098746984464,0.6934397562200253,0.6400067954727432
CID003382-1,0.11310471607113728,0.11276793286758072,0.04371722030062607,0.20709603047465788,0.33305497904185827,0.1902591212441398,0.6660580824257955,0.6564621093448844
CID003383-1,0.05090496685841722,0.22529603520826835,0.0034353606910959085,0.30188023443905354,0.15577899230283637,0.2627044105003287,0.7897126817667928,0.6190866832133612
CID003384-1,0.03125156414401663,0.15284960315751345,0.0007912454821654366,0.31176768824992446,0.11632307460280086,0.38701682436357915,0.7887178676780446,0.6210044749268425
CID003385-1,0.003645901727546521,0.1532797230603582,0.001363886484477128,0.3889221979161679,0.03954262911698768,0.4132456616944626,0.7286803446352197,0.6003492911050401
CID003386-1,0.5918062684628992,0.00012398824606624025,0.04222111870752172,0.053859117290854214,0.31195835823592444,3.114905673426898e-05,0.8390738633552665,0.5863727163583737
CID003665-1,0.11875617945399661,0.29947365308857576,0.048133433900607404,0.12309290572376734,0.3802429162157495,0.0303009116173033,0.7319250480461243,0.6287324784429384
CID003666-1,0.0002569215834253756,0.49853162414039265,0.04824018638853818,0.25689242193040773,3.7163674386132356e-05,0.19604168228284993,0.7211513446807565,0.6625888633886827
CID003667-1,0.2759222052779959,0.0013752105906454494,0.040202998565314896,0.36538981251544494,0.2832014970372121,0.033908276013386876,0.9117371343156097,0.6378548892362105
CID003669-1,0.3622561000740758,0.002385297369426887,0.04316488628723159,0.39803491318871626,0.15970372044308354,0.03445508263746596,0.8508688747472208,0.6125215976084168
CID003670-1,0.39964641599523126,0.012708394576525664,0.017049674796601317,0.35854993029579885,0.19607001245217606,0.01597557188366682,0.8642658836701819,0.6168535017329966
