,CID005093-1,CID005215-1,CID005217-1,CID005219-1,CID005222-1,CID005224-1,CID005225-1,CID005416-1,CID005418-1,CID005420-1,CID005422-1,CID005424-1,CID005425-1,CID005614-1,CID005616-1,CID005618-1,CID005620-1,CID005844-1,CID005845-1,CID005860-1,CID005868-1,CID005874-1,CID005875-1,CID006320-1,CID006322-1,CID006328-1,CID006331-1,CID006336-1,CID006340-1,CID006468-1,CID006469-1,CID006478-1,CID006480-1,CID006484-1,CID006486-1,CID006493-1,CID006494-1,CID006494-2,CID006515-1,CID006527-1,CID006542-1,CID006544-1,CID006548-1,CID006551-1,CID007329-1,CID007330-1,CID007338-1,CID007346-1,CID007352-1,CID007358-1,CID007659-1,CID007661-1,CID007664-1,CID007665-1,CID007666-1,CID007667-1,CID007672-1,CID007676-1,CID007681-1,CID007688-1,CID007694-1,CID007697-1,CID007704-1,CID007707-1,CID007825-1,CID007827-1,CID007829-1,CID007845-1,CID007847-1,CID007849-1,CID008109-1,CID008114-1,CID008122-1,CID008457-1,CID008459-1,CID008460-1
DP17 Cell,0.017247004757269015,0.0,0.0010236783255228882,0.030338547031512467,0.02527554196853927,0.02273646722708453,0.0,0.030883097862772543,0.0,0.0,0.045867048453787314,0.0,0.01732712884877426,0.026187572506095932,0.009695914827146124,0.004213476555754377,0.015926826736361175,0.0,0.01086518316548587,0.0,0.007412134278915641,0.0511862695066473,0.009178110408003714,0.0545547281426204,0.0,0.0,0.04066055256662656,0.021354694388502446,0.028122175119221937,0.003094957744547075,0.016701514594782318,0.043420409063663,0.03378183167349012,0.024584134918705737,0.012708067907313953,0.04006202196140127,0.008878495780293124,0.0,0.014801844865800273,0.01853017428505948,0.05919610339426611,0.0,0.0,0.028061386951929182,0.0002566404843932052,0.03337606336711414,0.02158640062850181,0.022309549207639088,0.0,0.010053942896483046,0.03664772703366885,0.04128003382717495,0.045706655987973646,0.04828284862133801,0.029897190234702224,0.04893089626733147,0.0,0.0,0.021827747611381926,0.0,0.043234502244464575,0.01731524574514069,0.06984187375109531,0.023839163094795775,0.035916026243874834,0.0016888702357695236,0.02336580899845878,0.014147202667067135,0.0559553540042812,0.0,0.00032946089467815394,0.022525325661624407,0.03904566937715317,0.0,0.04641121491228018,0.008274671611793056
ILC3,0.058178405653685,0.03810128401205744,0.03328931392281928,0.0381388705433369,0.05754637408159038,0.055936072037732466,0.06144475869392936,0.031684349263926846,0.0004916517899718216,0.016079209488249563,0.03781145647103608,0.05200230820705054,0.030277455623103067,0.042126237195867555,0.06111442324365473,0.037143038759254274,0.04057432169506318,0.021467382830642194,0.03477682944552793,0.02811219278499387,0.012891250415392914,0.06524531515344216,0.0477471652400762,0.04821912061404868,0.037594193885335685,0.007563986219432963,0.058631271371606716,0.04581573462891004,0.051153889774724966,0.042147547722606364,0.05822982024684748,0.051889446247354185,0.04604622855158848,0.04791578512769474,0.07375208309572716,0.056844316635804054,0.044084601333723654,0.05527372008263066,0.044825191331035255,0.028203057643003748,0.071457255741834,0.053703063384426306,0.03429873243471152,0.03985483331713867,0.02849948705430961,0.05953801648189089,0.047926406813158046,0.055938121749043716,0.011407870809717776,0.027692570818667866,0.05801609111040627,0.0596662402230088,0.06483457184486492,0.06358142046222835,0.04411312163655691,0.08896338918299027,0.04539990399324246,0.011661268519657453,0.06430157536982385,0.028178217818578526,0.04458746886960344,0.048180077858482474,0.04533688574117171,0.0061975708786044074,0.09749734282319818,0.06027884771537283,0.0453495782595366,0.06838473916679275,0.05482472087778142,0.0033912960032490627,0.047199619353206795,0.03796006959403719,0.05348165278592698,0.020946481106894153,0.03919423224159691,0.027366895529512127
Intraepithelial Lymphocyte,0.014768681833588006,0.0,0.025027456354698496,0.0,0.00869747951801066,0.0,0.0,0.011094611132211106,0.0,0.0,0.015004691135710376,0.0,0.0,0.01489921175636868,0.0053511232848743534,0.015569043488828965,0.007882077225132811,0.0,0.0,0.0,0.0,0.0010002539502809193,0.005462727969150111,0.04903522979116125,0.0,0.011825743819273071,0.0,0.023865623026555937,0.01669120189139304,0.0,0.01663281718058323,0.009718965125779886,0.0,0.00817916655981352,0.0,0.0,0.010614192779387159,0.0,0.0,0.013201390924253608,0.04778383479639726,0.0,0.0,0.0,0.0027987747181857196,0.024872188621198985,0.0,0.01696288037678159,0.0023465032232283995,0.0,0.0,0.008899502085801618,0.018214851682819565,0.008179580824252112,0.0,0.04045473508705778,0.0,0.0,0.01340609160099133,0.024830377889485247,0.02743216200137179,0.032250504740993474,0.012701465635238612,0.0,0.023587070897175322,0.0,0.005836612750490301,0.0,0.013327391728703066,0.0,0.0,0.010200530917750888,0.043385787693691925,0.0,0.006134660598271875,0.035877315696534136
NK Cell,0.0,0.022151299716880176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005461485926850376,0.0,0.0,0.0,0.0,0.0044234575055109625,0.0,0.004691273255620391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005591994296734081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001482419929342812,0.0,0.0,0.0,0.0009240006025789391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008358798946824419,0.0,0.0,0.0,0.005635984346701157,0.0,0.0
Tfh Cell,0.10646167076032424,0.12143613139395773,0.11296038533722637,0.17428105216474699,0.13355197987737266,0.06969585537552205,0.108432260789486,0.05845502712036799,0.09777588021556177,0.19171497605739404,0.09455504262242281,0.10226446040988948,0.10712315271150707,0.10764676277565231,0.016174917144037067,0.038047239995909775,0.07324514132630923,0.11658655213273007,0.12357554879412011,0.02675210209350437,0.05541604763808124,0.029365184261756244,0.13874355139654138,0.08023135569187945,0.038990978419648444,0.08839797349520633,0.0918765256755301,0.012760296706024092,0.11882725888758659,0.1414996500902173,0.012355785444442314,0.04291897604326119,0.1131277694384539,0.12196735863781004,0.1046229565144204,0.05107126906309568,0.11408155332446825,0.10619360778262368,0.17023129757701017,0.02307450342048657,0.058463622383305255,0.16224771943490143,0.10458323611070967,0.04274488149103133,0.04229123546470993,0.06907830371936746,0.1307320893337476,0.06054531766668838,0.13359403364972758,0.13361490635950055,0.1457908399430047,0.13417241029162327,0.03714119115595068,0.1664607840958976,0.10012620110212346,0.09639388554911901,0.18453793457683965,0.16779754369102595,0.12281501063803112,0.13679896082804052,0.05510967564928145,0.0,0.12767901502166165,0.14277370256673924,0.08862310876557337,0.12183344895902362,0.115070266977947,0.09265176135127214,0.056553715342097584,0.2642125572304097,0.13405587208510303,0.2313963345364428,0.056400530376440494,0.11614020130547563,0.10885251213927624,0.05714604713387658
B Cell Memory,0.0,0.0,0.0,0.0,0.0,0.0,0.02491053383117021,0.0,0.022846927223306616,0.030397937514026724,0.0,0.0,0.01746223090529385,0.0,0.0,0.0,0.0,0.009502663969718028,0.0,0.0,0.04441393827520536,0.0,0.0,0.024892672072691448,0.0,0.0038495461090651147,0.0,0.0,0.0,0.0,0.014273962760757476,0.0,0.0,0.0,0.02805033515317365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03459281724569507,0.040914889308283846,0.039009799750414346,0.0,0.03500327601731592,0.0,0.0,0.0,0.0,0.028682882832967927,0.015359662036286107,0.014635586051635037,0.0,0.0,0.0,0.0,0.010891205066939032,0.0,0.010339054082053599,0.00960149286065974,0.0,0.0009086243764516673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03740179473891773,0.020939164597054395,0.0,0.006359935683694175
B Cell Naive,0.04660285065006634,0.054077774130883126,0.07100652228744479,0.057846978551576736,0.05310477542296267,0.027232870060529265,0.01655648366651141,0.03830366247278367,0.0,0.00961677480259621,0.054090288918993985,0.028474077419336507,0.015701898007085706,0.06432161854178557,0.025234519731923755,0.04887177933691669,0.05984742366931863,0.03286248196547375,0.028158830676698964,0.04176842336643024,0.0,0.07032665777810587,0.07653421720220843,0.009352881360283019,0.04386453495039351,0.01597465145843003,0.040617086035167074,0.049750931765889406,0.06469722136665801,0.06421444661966323,0.01757417313102855,0.02839697450309491,0.03680561240604775,0.0341033511219278,0.011522914164967599,0.08204307375534207,0.05242685840074054,0.045394019829126955,0.06959382750897247,0.04085169541615005,0.05154257893673763,0.03520715734726682,0.06173623594853955,0.0005907985322584045,0.0,0.0,0.03387387787903403,0.006310551981736913,0.07250876018724818,0.0693921575003076,0.06297686349095688,0.05472197647928028,0.01652331601567378,0.016151586697362635,0.019613331248046893,0.05554671990237457,0.05621712013643273,0.04167045656559312,0.04231675803143,0.001935489309431904,0.03171089554668436,0.022049613302110974,0.02695889036811347,0.07990034904398796,0.03111844553111011,0.07200649276147907,0.060658276531788874,0.04240671156149311,0.06473037872614273,0.05798722547031277,0.08188711548938296,0.076667494311799,0.0034167988143720745,0.02085147665041345,0.02452794709526302,0.008987810497924522
Cycling B Cell,0.0,0.0,0.011485493427406391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027872630323474,0.010915429870135438,0.0,0.0017773468797448687,0.0,0.0,0.0,0.0,0.012947126030649493,0.0,0.00948602492424767,0.005405800311629881,0.0007202775012641377,0.0,0.004009126262270417,0.0,0.0,0.0,0.0,0.010825373423828813,0.0,0.0,0.005359533098935731,0.0,0.0,0.0,0.0,0.002508557593532903,0.007823232709115457,0.0,0.0,0.001871537662278265,0.007193858089832363,0.0,0.0,0.0,0.0029182970169454084,0.0,0.010588309819069028,0.004621692249192422,0.0,0.0010697019449381238,0.0,0.0,0.0,0.0005235252425094684,0.008884863947422285,0.008041950409526981,0.013564636583281131,0.0,0.0,0.0,0.0,0.007875878992907336,0.0009428764425945079,0.014693360740306277,0.0,0.01352478178100996,0.0,0.011636275401283005,0.01774471249900783,0.0007100356307275608,0.0,0.0,0.0,0.014261576638738616
Plasma Cell IgA,0.0038605064773090643,0.0,0.0007914308555692383,0.005503577007002538,0.00279281960619838,0.0,0.004737183837734791,0.008689012856118639,0.0,0.0006386388959034416,0.0043751298184463855,0.0,0.002218493695956589,0.002942699957219023,0.005188697245532907,0.005468285619792758,0.004396353190744415,0.0033413072016994995,0.0,0.006853527133691381,0.0,0.0013161297725883358,0.0008283534657929977,0.002489955852802826,0.0030328229351633718,0.0027923154584687812,0.00014757583339231094,0.005959053988823221,0.0027991240426524203,0.0,0.008464206864300496,0.005434608358128198,0.003254107729334551,0.004674387383522475,0.00432053734551786,0.0037978096889573973,0.002671261177415055,0.0024133011440363034,0.0,0.007947782045576337,0.002502803432770151,0.0022567840834084828,0.002104965566015344,0.001800374863906634,0.002757497283946709,0.0,0.0,0.00872153712641949,0.0,0.0,0.0019181800352170361,0.0,0.011105839090540366,0.0038996330765512814,0.002913349889538318,0.0033163646345110293,0.0,1.5824248872677196e-05,0.0015437448091789915,0.00467442931110243,0.007094964362647373,0.006691416911909089,0.001404084298424181,0.0,0.004486377145630754,0.00024034528563706675,0.0,0.0,0.005740006252015332,0.0,0.0,0.0,0.0052264347054634475,0.0029162780809466695,0.0029780192427344932,0.0
Plasma Cell IgG,0.012000182176133679,0.006206825091409773,0.0009884727435615275,0.008212947461193755,0.008879094859050196,0.0097616921605607,0.004259646598374822,0.005216533174436144,0.0,0.003224711475417145,0.002497086805988155,0.0005656337511276108,0.0102493654917463,0.0027895064457192486,0.007914139436567987,0.00402406764959882,0.006884780404037143,0.012587650344796815,0.00452298078976841,0.006915606911639177,0.014297353507840794,0.0020194942263132088,0.006954683872180795,0.004390474778000188,0.0005275937418126355,0.0015884864979102869,0.01003724729389929,0.009507035591273966,0.009719066307332215,0.008381654644428294,0.006584833592510612,0.008226149513636743,0.003300919792974802,0.005085804529333308,0.007667370764402278,0.003106161989585679,0.00671175564329159,0.002961536744191017,0.002085285373759737,0.0,0.005812117414342698,9.822028947567621e-05,0.005339470681934122,0.005258403642871525,0.010837745680189803,0.0,0.003987339036033059,0.002301307571931359,0.009983229602908214,0.00940140929938339,0.006465140751253801,0.0012814911976120954,0.008091426318044383,0.007889345802624846,0.010604913042063544,0.008264927625927919,0.00794478470256925,0.006514458905645245,0.007151126290545217,0.0,0.0033364505241658907,0.0073700013600366855,0.0053322172070394,0.0018336300613993046,0.005981455503778023,0.005774957726584497,0.00845587462859259,0.0,0.005435882808503138,0.0118306505416338,0.0018648360804454733,0.011620077865881562,0.005074573099355573,0.0008372511048629582,0.0049204825827591624,0.006490838868003898
Arterial Pericyte,0.041339267867474876,0.049055715208573505,0.04198421150568036,0.02487572825808158,0.0,0.05213503466086452,0.024677280505414314,0.038032960784946286,0.03724077214547359,0.0,0.006871949755437342,0.06691764136475706,0.0,0.04568614658232526,0.051029529775802177,0.06969359887207384,0.011770661328737995,0.06687370696995483,0.00841561296797907,0.06961569955910377,0.01118399050816009,0.05056905820488924,0.013982039578724298,0.00905300340029323,0.04459172099272168,0.04539743566120416,0.05084635780521617,0.07209283942512693,0.0,0.0,0.030080409794199504,0.031974999144776375,0.0,0.0,0.0,0.011747785214553459,0.004300706122509411,0.04187866816658172,0.020912520326141187,0.031438628589271836,0.028631125572510185,0.0,0.0,0.006578306941434909,0.0,0.029865347988033572,0.003439775615414701,0.03547229650894859,0.0,0.0,0.0,0.0,0.03180838450645742,0.0,0.02640511894727257,0.0,0.0016790111942702928,0.03150924326907557,0.01593570575449777,0.03247008743373389,0.0,0.05588991512687645,0.0,0.008475406479182332,0.013376615252036175,0.032506173132679436,0.0,0.0,0.0,0.006203748567505691,0.017125003766823563,0.03606463531549211,0.009711867032558634,0.041247598128187415,0.0,0.018952617956285438
Blood Endothelial Cell 1,0.006868671300835405,0.005122689498490892,0.017383182742719768,0.01603861255883676,0.027332983993439256,0.0,0.028366062273485173,0.004326825366270201,0.0,0.025632868173133972,0.021545902418392802,0.009310993077788779,0.027488794606625695,0.002000114460107924,0.021721742888224004,0.0,0.01639534683907128,0.0,0.00898716311650235,0.008576877847523267,0.021994901463399302,0.014601720699008397,0.018792715475282534,0.01880361093787647,0.011606446419857948,0.0005923148340007672,0.0,0.004031033557868747,0.03328671136527168,0.027808887266715203,0.00370207675166619,0.013846712406017304,0.02213190095417315,0.03558283221684914,0.025909057754833747,0.008794940195692567,0.02253389508191054,0.0035702530982556235,0.005294530641699216,0.006192968821014212,0.007416864058663295,0.019230297300019187,0.018045856631599688,0.02053166492971336,0.040845145573188385,0.0,0.021392994404843664,0.013437898803495238,0.007840731783531958,0.018758850921640317,0.02300737551023948,0.03658990691805371,0.022430065701539013,0.04900898246353748,0.011990570209764084,0.03293919283442974,0.015412711698429418,0.005795022906302049,0.02406395966178195,0.0,0.03164170493870728,0.0030056712212582003,0.02985851897148527,0.025126533114438507,0.024424840713081746,0.009927879140369371,0.008150372382992885,0.027850243742507694,0.015212328619415643,0.021733834603781713,0.003887621884156358,0.0,0.013192653369514164,0.0,0.03734166126357172,0.0018057173232801976
