,CLEC9A+ DC,Inflammatory Monocyte,Mast Cell,Mature Macrophage,cDC1,cDC2,mo-DC,CD4 Helper T Cell,CD4 Tcm Cell,CD8 Effector Cell,CD8 Tcm Cell,Cycling T Cell,DP17 Cell,ILC3,Intraepithelial Lymphocyte,NK Cell,Tfh Cell,B Cell Memory,B Cell Naive,Cycling B Cell,Plasma Cell IgA,Plasma Cell IgG,Arterial Pericyte,Blood Endothelial Cell 1,Blood Endothelial Cell 2,Glial Cell,Inflammatory Fibroblast,Myofibroblast 1,Pericryptal Fibroblast RSPO3+,Pericyte,Post-capillary venules,Villus-associated Fibroblast WNT5B+,BEST4+,Enterocyte,Enteroendocrine,Goblet,M,TA,Tuft,rho_Spearman,rho_Pearson
CID003375-1,0.0006542142319536395,5.81317965813324e-05,0.01000132996365101,0.05811713868959379,1.0685961339044992e-05,0.00017192693719469032,0.00017415680179116684,1.6210399328291194e-05,0.03971359832412908,6.195781653856085e-05,0.06901097071632933,0.05776386185351209,0.0012363668959314985,0.022165948985225618,4.418793085573458e-05,7.252654564092064e-06,0.08890280731398856,0.007681548861874331,0.0001715494054904787,0.025282272247596403,0.007685889205248394,1.67951539248208e-05,0.0875861127830944,0.01937509493133567,5.595557389691167e-05,0.008765929016173507,0.007223792888505281,0.0013199546731196474,0.022465019782003333,0.0005882076581890848,0.003114033168438278,0.03779758920697173,0.042870696384158774,0.08986328706888297,0.012772500018741343,0.07929420078761981,0.08840562911022971,0.08978924557157873,0.019763949230418666,0.6989458666878022,0.33618935332771227
CID003376-1,0.017556595460649874,2.6834115112599558e-05,0.010738250653385073,0.007010319467141003,0.027066591417565757,0.00017862554223532228,0.0004883195185297364,0.0008361185952421393,0.0035503477650199186,3.941073330347017e-08,0.06710602500339453,0.07531019748606954,0.029326226396791513,0.033493073597539204,0.0006817705282326066,5.1319432246688435e-06,0.07414949985227119,0.01121352308358685,0.0011871170154828807,0.03737726709916187,0.010538097923746388,0.0002615715123095093,0.06548894532262912,0.07437738630592854,4.430007930382826e-05,0.012840433835683656,0.0012905476519108762,0.001426898879173845,0.008615342220159066,0.005690044647683443,0.00954863983492721,0.05009962869011818,0.07991928252379962,0.08008159233370765,0.00671419479745767,0.0046175697040856225,0.08000293838343818,0.07925955010547302,0.031881161297095145,0.6782193958664547,0.4986467076742578
CID003377-1,0.03929654340141683,0.0807617011868721,0.0002580568784297997,0.0009826385089644935,0.03997414948206338,0.01516765212993571,0.0026135679062922884,0.025335717396574708,0.0004489597542172738,0.002474317182861909,0.05457454319376768,0.07572948094032718,0.04500875816954016,0.016958961220195995,0.0021486793164008115,0.0002494833455924745,0.03708400179157125,0.0008187680391691791,0.05215358059708216,0.031990633783928676,0.023697339391087563,0.011123012560337505,0.03830348618255839,0.03464353528750252,0.00651026378314266,0.005082000828880593,0.00858781476491069,0.0008976971629395317,0.0019587826670093627,0.005208724679824872,0.03237707802578259,0.008921121754931163,6.145229797174176e-05,0.08092281753578541,1.4023866456800967e-05,0.03053004239606184,0.08091738809803203,0.08044272667369846,0.02577049781788223,0.667960594715813,0.4795657463842773
CID003378-1,1.6672636871306105e-05,1.7740680614705786e-05,0.01004107504393097,0.0012995117545917762,0.01714387611496963,0.0001923663795683458,7.67265728568272e-05,0.07812530658961428,0.021467906350570956,0.0002546266035453359,0.01727621918251981,0.07258973631955462,0.08617922976716515,0.02786303947008594,0.0007591114393147361,4.4718600746782406e-05,0.08610772691733773,0.004516298638882687,0.0005915441535897333,0.024219532592123026,0.00601970167056519,8.710315295649289e-05,0.019004796879517477,0.014364452053290561,0.005630935238158733,0.0020760228495429224,0.003339159458086973,0.0010379466594015968,0.00028646724483389284,0.010763974276800868,0.0006180627918323465,0.01210209203809438,0.08318619324301353,0.057332685159328364,0.0869501175623601,0.06578007812412806,0.07929661551256356,0.08613063534481223,0.017209994932258412,0.7257853096998101,0.3208340672486405
CID003379-1,0.003342684313671099,0.08584831621863062,0.007626944533408135,0.005923321429543096,0.026160303844772095,0.011281094939497189,0.0008585130601844722,0.00660836785805298,0.0005242754274827163,3.328262867238345e-05,0.017046831185741455,0.0737077557272854,0.025678493278707887,0.06051181727995941,0.00431942386181439,0.00037176301880555287,0.05742126876589974,0.006426876468668694,0.003470560550459195,0.038172678540228974,0.008712333104009515,0.00017818034668606745,0.03868026273997033,0.021046320239068366,7.50658239072503e-06,0.003372453961664754,0.0010495294520329575,0.00013778127243637504,0.0005561652094168143,0.005988312179822252,0.0030350147438711014,0.01371078522920592,0.08488803394074133,0.08599749073175555,1.0446946085634557e-05,0.0733648747882375,0.08176457515392029,0.08570395038941776,0.05646141005778138,0.7455961714693005,0.33134934828147045
CID003380-1,0.02392454705792782,4.573260619664074e-06,0.008903719701099422,0.00734918312524095,0.035733838340546095,0.000322099851434091,0.0010898829568875804,0.0319546387130455,0.0036806056780366234,0.0002304910350157491,0.07569744189985651,0.06978177221873787,0.06591372694039098,0.02029123630654254,0.074387125199761,1.867500065292624e-05,0.046148504874889966,0.02989491307232093,0.005286817115337898,0.018721595042322677,0.009732108481908924,0.0007247912370435275,0.011608329994481786,0.050359016711646824,6.644869704019387e-05,0.006053409060193918,9.766599958940838e-05,0.0016276139861509814,0.00038609392425169856,0.0018610964858527808,0.003060426239894451,0.023695594139519965,0.07562858393456534,0.08020318518696674,0.00804639418172012,0.00116993539996436,0.08010354436613935,0.07978042535432789,0.046459949228074844,0.6824589666805656,0.5012416269768339
CID003381-1,0.052000829270620566,0.00025651410708318764,0.002003763958346022,0.013985277179210602,0.04952478343706931,7.962452126458343e-05,0.0012753007498172522,0.07146458628017464,0.011155897223094957,0.02133288164737966,0.07056937145924912,0.0181491969268603,0.0027059914664467697,0.05307804200129163,0.07474444354740073,0.001732739192639911,0.06471900522297033,0.05268843681777712,0.0007676762060791322,0.0012149469128489385,0.05400431871394545,0.00041413580210724926,0.03080320047004793,0.06261900967520542,0.03490412345213161,0.01902683194831521,2.86920597099058e-05,0.0010704316624322821,0.010147388467615658,0.0003730415219290096,0.00804536090560142,0.022132052583147918,0.03009219226661378,0.07463308239677333,0.0005205974254989948,2.0042194966395688e-05,0.014587752275848177,0.02940838650213612,0.04372005154834953,0.5852462002267274,0.4880606385665458
CID003382-1,0.03802963682119004,0.00012615458167375318,9.443868572763392e-05,0.00020450951126520212,0.04912267393872039,0.009118207342539389,0.0025654592665696175,0.07070878272888251,0.07072840598573847,0.005437066172487218,0.07134660399185824,0.06398865269079548,0.013145631522565922,0.024850979958404396,0.011641103981378121,5.8169957380324755e-05,0.00836715859219393,0.029714868573084804,0.050786900380447794,0.026962674506905614,0.0063327951350309365,0.006183842374121371,0.05751818724271665,0.0664631606405456,0.0002534136589770202,0.01673751100121472,0.003848695247329854,3.287422154605033e-05,0.00018995199883595877,0.002400218984849815,0.01841788320746499,0.019516103526972323,0.003079035940369283,0.0737494012560473,1.0522070443297276e-05,0.006419009976229878,0.07086511003637457,0.07298013388212159,0.02800407040899984,0.6149224973173655,0.4960635746297408
CID003383-1,0.02779911319421331,0.00011309507565576801,1.4609092827582716e-06,0.0544366725684033,0.03227048914346814,0.0019487437747306813,0.0008453087953900222,0.0612173649587752,0.009062155484536564,0.0059470765320577285,0.07204865226029013,0.05296157944574215,0.07077379216432755,0.023110941990322646,2.605398476346783e-05,2.780723789893014e-05,0.05835282267487682,0.01249305785130339,0.0005520687317579548,0.0391915987675061,0.007763925906250109,4.8154609835240086e-05,0.0012860376156072313,0.06172870325201828,0.012439524087488999,0.001652313680699129,0.012723464709995426,0.001111433364123389,0.02739432115482051,0.011445716814598522,0.008517716200612167,0.021283096893668415,0.007329506674183648,0.0040889632126348404,0.07228228773450111,0.06486246027282154,0.07317081996413524,0.07371479068809933,0.013976907618603962,0.6919533686130915,0.39527258412744026
CID003384-1,0.023198250777695235,1.9251565190160985e-05,5.769508261722666e-05,0.015169387260135486,0.011862074679095757,2.230951179747648e-05,1.3404771980810976e-05,0.07578739644503087,0.0026450229599103516,0.0005704446829189452,0.0752111272140282,0.0732047357650802,0.014440701706790867,0.059622202745419225,0.0029586981251730126,0.00010083779900501967,0.045403505952073535,0.004558949077012227,0.003484608576411496,0.04207545289519864,0.01824293053725078,0.00041808731567261813,0.002438183099902829,0.04211262948864282,7.736250022595336e-05,0.026203093875099302,0.00367017003892422,0.0008231434007252237,0.01360254659674238,0.009323267153337953,2.6629418563112506e-05,0.020248880039606863,0.07837372387139427,0.07834783742485096,0.007070656175039406,0.06085452661069485,0.07568956912833322,0.0773607697240881,0.03470993600834012,0.6951323289517294,0.4258267324883306
