,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
CD8 Tcm Cell,0.0,0.0,0.06620397935995873,0.0692597475883041,0.0,0.014289565244234656,0.10768454964738161,0.1098198489222638,0.09815978754681792,0.0,0.09531755906024685,0.04886482852871366,0.013360135868634767,0.0,0.0,0.07113922719160226,0.010091040555191482,0.0,0.1264743410315499,0.1173531350793715,0.10666355498638946,0.13621351771396958,0.0,0.05694690191163883,0.060707499802982234,0.0,0.0,0.018951598908425116,0.0023927465783599973,0.0
Cycling T Cell,0.10407422852047374,0.03547679649705198,0.07640796876135522,0.020954198761225565,0.07811557780722289,0.005820470605037555,0.02929555173023434,0.06134437775994676,0.06238489210211052,0.047512666518214605,0.03597576215592865,0.03346469692100149,0.03469889650204272,0.04696128717410305,0.08707444056394181,0.04214458566059339,0.0042562793558309445,0.06587674656263123,0.012194761140925535,0.05359148225603214,0.061385149831815936,0.04634723752096416,0.021482936890073533,0.02848959251704949,0.013611811129958266,0.04140224169013997,0.015771971317814205,0.07448567379230434,0.05666017640797198,0.05945884507266682
DP17 Cell,0.0,0.030530606456832903,0.0,0.0,0.0,0.05321492238540839,0.0030043917170312464,0.0,0.0062502109952415385,0.058898716667037304,0.03810918986360597,0.0,0.005267249592123001,0.031161489133991152,0.003341221881804179,0.009433838874776149,0.0,0.043883785619163465,0.0013019552579159386,0.002730446283449858,0.0047682083631573075,0.019287657815005046,0.042179952512688,0.020616885779775024,0.047259852941417976,0.02615515077339365,0.057337054657940645,0.04715451771583529,0.02020268800950801,0.057080255407063095
ILC3,0.02427281940412578,0.039912958696343016,0.03601144743544977,0.04092848880755914,0.031582944128454554,0.07670706991356281,0.024368562976127675,0.04488001637232499,0.03664303009014172,0.05255511358669668,0.06525107902556697,0.061625069557803336,0.07375428186288881,0.04894571271884169,0.04398618877001966,0.057354700068917866,0.03512696006945837,0.01678776039865422,0.02187157375748925,0.061500724410684916,0.061756349746040176,0.07320369203759228,0.07257214397992322,0.05248006716698308,0.05861707692933276,0.03468285819939825,0.06369776387718773,0.06631334783262761,0.08393045285995095,0.05589202959415901
Intraepithelial Lymphocyte,0.004693984583589798,0.0,0.009224668708837246,0.0,0.0,0.0,0.0,0.0,0.0,0.02346643726476031,0.0,0.0,0.0,0.01891917152009109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004812639784627436
NK Cell,0.0,0.0,0.000503579593210652,0.010418491974899698,0.0,0.0,0.012672811532253268,0.0038511365506144787,0.0,0.0,0.0,0.003973103033082503,0.0,0.0,0.0,0.0014095425826509674,0.0008694447062644824,0.0,0.00885553397092265,0.006203992750608733,0.0,0.007239735369974672,0.0,0.003549161881251452,0.0,0.0,0.0,0.0,0.0,0.0
Tfh Cell,0.023454854163401647,0.03666560166324481,0.0712616893760343,0.08552552030545216,0.04405479517803835,0.04238824005083746,0.09561717049086471,0.10610225962602626,0.12255542945792486,0.012951336747000084,0.053130268545029904,0.11265521040811434,0.07699825033288357,0.00235665862876391,0.10203169800273684,0.18401875445261123,0.14298774303180695,0.0002023588973173063,0.13682916744302667,0.07997632072463196,0.1424099795638252,0.06786734494801785,0.08564486202704127,0.08171876391651077,0.09539217244573196,0.009105047287906867,0.0,0.02452942818157983,0.02441454470363552,0.0
B Cell Memory,0.018348113229191217,0.03886454517822906,0.022601321269243232,0.025186751455745098,0.0,0.0,0.03446975226869101,0.0,0.06526876410946239,0.03766026609763304,0.0,0.02490296596461335,0.04003047837585954,0.04321875600280425,0.0,0.0,0.0,0.04814125222855475,0.024693224221671004,0.05773114168829892,0.010070733020594106,0.004039157913293573,0.014659026833477752,0.02445090278241612,0.0,0.03132061931295114,0.025758947679112052,0.03489689482799421,0.014795877263862058,0.02861786892107492
B Cell Naive,0.011133290206473752,0.0,0.027675762018159956,0.0077079915474009275,0.038091102877651405,0.06094419977358505,0.0,0.04691128324826628,0.0011118108384696509,0.0122679303024848,0.06281292754034269,0.015285602214360294,0.018523855178609838,0.0059558032600612355,0.061048188561412614,0.053451590248510206,0.04263430197172129,0.00010307534281889957,0.01203833810615614,0.004731743131587296,0.04772269043406042,0.03665979609394868,0.02856877817003421,0.009442460587143408,0.04586295059131246,0.01330702941160385,0.020157163171587597,0.021400624109153506,0.023296896766177553,0.02520298368442938
Cycling B Cell,0.0,0.0,0.0,0.0,0.010266980979096427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005816332193492087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
