,CLEC9A+ DC,Inflammatory Monocyte,Mast Cell,Mature Macrophage,cDC1,cDC2,mo-DC,CD4 Helper T Cell,CD4 Tcm Cell,CD8 Effector Cell,CD8 Tcm Cell,Cycling T Cell,DP17 Cell,ILC3,Intraepithelial Lymphocyte,NK Cell,Tfh Cell,B Cell Memory,B Cell Naive,Cycling B Cell,Plasma Cell IgA,Plasma Cell IgG,Arterial Pericyte,Blood Endothelial Cell 1,Blood Endothelial Cell 2,Glial Cell,Inflammatory Fibroblast,Myofibroblast 1,Pericryptal Fibroblast RSPO3+,Pericyte,Post-capillary venules,Villus-associated Fibroblast WNT5B+,BEST4+,Enterocyte,Enteroendocrine,Goblet,M,TA,Tuft,rho_Spearman,rho_Pearson
CID007380-1,0.048339914460602686,0.03565531765519072,3.6308058226227837e-06,0.003389318308260584,0.06193599985170522,0.04810171680121095,0.00039795276649181167,0.05762247921807934,0.03399586478774587,0.004349167669824559,0.0590888244774519,0.03660893151063288,0.04598408919631688,0.0227306756625758,0.0013386514359404256,0.004118529165464879,0.017054387052639352,0.058324478801265865,0.06122540058973809,0.005198511130123731,0.006906325061624379,0.0316062463131428,0.0024020080120437668,0.055966478608575745,0.017791869213393072,0.003068412912236681,0.006480327742134566,0.002211303300635627,0.018390795691464505,0.02205949076459668,0.0012698679496639667,0.012677210302824668,0.0029730383108653876,0.06189690885679386,0.004690612131033877,0.0002890923178215725,0.0586674199226969,0.062297364490967025,0.022891386750400696,0.5733272422719659,0.4573335955477149
CID007382-1,0.01561514443081557,0.07548690555831815,1.3784656415625964e-05,0.00017925069142897735,0.0413177872506898,0.0036298993508922786,0.0006973415586950623,0.07488534903254497,0.0009487031695335567,0.07390928405396854,0.06547439719959851,0.07201049565424016,0.062106431933067016,0.007834991365260658,0.005113014761265942,0.008409575242121464,0.027732153522085273,0.07155932644938653,0.00970612158143147,0.0125949368199695,0.00022907172698689456,0.014024199489461962,0.008957632594343862,0.025788225004253484,0.023884154777158936,0.007824281261913838,0.00040552310654347557,0.0006892213517959167,0.047861508519203816,0.03436533580686973,0.017740280229073594,0.0016369291060008813,0.0009096942992852206,4.2837369533495834e-05,0.006280695796010219,0.0011946288280413988,0.07510413056425362,0.0753639818271803,0.028472774060360525,0.6197940942985966,0.4753956547146707
CID007384-1,0.05101756556854385,0.05631492514476642,0.005408841026332502,0.00032184512219201293,0.05765766739617963,0.0024986436963220964,0.00029083882458077895,0.060727930478745695,0.00047953233313175185,0.0299635880223356,0.04803788284121922,0.018995919095505905,0.059364062369342926,0.04872166714311078,0.001889106542344371,0.002375400960348507,0.03501115271670759,0.05836313734176711,0.06105977125731755,0.003341705813235676,0.024448673854625354,0.03500221969651733,0.013309039699075365,0.011490269480616629,0.017657216143018042,0.0031396241550088336,0.008056405864970341,9.318795568492136e-05,0.0022696467350065584,0.03741097228993517,0.002641682036546268,0.0071665732300786955,0.00033971870814415424,0.06107046691186802,0.005374607826903473,0.020084363541076098,0.06031427923261601,0.059451330086165044,0.028838538858113664,0.5700545490102412,0.4212308424092924
CID007386-1,0.0032570484710338727,0.07570600055003435,0.00033869828504797726,0.007663727604869192,0.0675354175489291,8.349863918027302e-06,0.00024836263570109367,0.06761826893006183,0.06564126643810558,0.004063075396052364,0.07579335470049502,0.021832693612191156,0.023651544192165197,0.06761941379454625,0.01137675696323259,0.0009287255223803732,0.034559818437352965,0.010860308577649644,3.896503460803934e-05,0.0012851637408278183,0.037906704314739685,0.0004471726854562373,0.038700380026857405,0.012285439161086596,0.00024055676628714962,0.020089432814169937,7.025483936850344e-05,0.0010850265049242836,0.06326978914625857,0.013842971366712876,0.007239279580990445,0.023618299575982372,0.011946715372354944,0.07595601081072177,7.267925112942285e-05,0.0012320607104237226,0.06688553863428032,0.056842840575245274,0.0282418875638083,0.5856813091058389,0.310832248066767
CID007790-1,0.04827600347656089,0.0270355014972789,4.658167006268046e-05,1.2694831993319524e-05,0.05410579918936184,0.003669068820322363,3.409504166012252e-05,0.02264451614037107,0.003203586956402226,0.003157009938347075,0.024294544249209994,0.10268065855494563,0.017180641156295237,0.03498854021561967,0.0010038151801816976,0.008549226534492334,0.09996277231371417,0.06899843262273458,0.0699352407997717,0.07566049395598778,0.016684884633142955,0.03756495152889778,0.000466853785849867,0.01636926662211148,0.0044906091233598115,0.0038557050805229716,6.810136841624069e-05,0.0005672976417978551,0.007830177786135963,0.001212628554576483,0.010713015787712563,0.0026609205793733017,7.153832597980351e-05,0.03238754329128779,1.3476045537941535e-05,0.0003590334232252944,0.07497105519338476,0.10427193262357248,0.020001785459801392,0.7200367918279449,0.4776249340897718
CID007792-1,0.04397053226199676,0.059504217760146104,0.0007612867784600631,0.04913820845626228,0.04237113586624152,0.0009361911459857754,0.0034989776421171233,0.053849330934820944,0.0009237232552972949,0.041218348823619355,0.04120637594076468,0.03334399813260784,0.054773774262164385,0.04033918736738882,0.023842242202817335,0.0041418524127766485,0.05593672286682651,0.05586202706002295,0.060491444730836,0.023837436933730347,0.008918573816929433,0.034923670222667826,0.0007062144336981413,0.009337392709633524,0.009094458913471147,0.0011067338586623393,0.00015797893638342032,0.0002456346703826787,0.007774246433108213,0.000591008028292517,0.00092777517549371,0.019179741611994598,1.745060530855305e-05,0.060635171501674114,0.017119874413314834,0.0008251472201864863,0.05372712549026917,0.06055830783596814,0.024206479287678464,0.569471258738844,0.4434550161998303
CID007794-1,0.057907566545961214,0.0005471612692724559,7.453798640451733e-06,3.893325458016201e-05,0.05839733310017733,0.018238466111167854,0.0016746636495159636,0.0036447070071551103,0.06539726588319947,0.04077952791713136,0.06657893111612946,0.01201646642077947,0.06240611227728037,0.04271098269138054,0.0002633496206887165,0.008610585945933016,0.05814736205480119,0.06479699096059488,0.066407594512688,0.0004970425135251674,0.011681543537768,0.029147067344960458,0.027192553717966854,0.03836564948972891,0.0011366794326483868,0.009760342276570268,0.00015173900349117105,0.0008038816866222537,0.018215847027101748,0.06081696486570023,0.0007154366827505161,0.04114590230832365,0.0003283536674329083,4.4903145458161744e-05,0.0001452951582510622,0.0003090087780463491,0.05030357923956918,0.05440194997220037,0.026264806014807317,0.5574942823673787,0.464158080919685
CID007796-1,0.04761663791750966,0.05940286860294564,5.0603134134397845e-06,0.048973352121900994,0.061187145994445545,0.0010379414047765904,0.0017352811253368604,0.07122073420809948,0.0014288171596929672,0.00032377194311988014,0.07120509254809687,0.045550503153746376,0.06367230713005992,0.0109881435449119,4.6006818139780425e-06,3.137869049918873e-05,0.05931069294956688,0.000572352209206533,8.095149525381294e-05,0.017456088630431722,0.0301137047217621,2.571171229207196e-06,0.0012037322558170348,0.004265209568404429,0.0026553502024116854,0.007217240410051124,5.2315019483536186e-05,4.171642168492109e-05,0.06052175364372386,2.9987258997997202e-05,0.00012310039216822542,0.01994184968260285,0.06963513299406282,0.0706787796760664,0.019844919824497195,0.0009669972184569123,0.0711379311341141,0.07119727612057554,0.008566710459061816,0.5485173916075446,0.3306305663963296
CID007798-1,0.027715817986996377,0.0586440701379277,0.0003719452357300404,0.007321882482124869,0.04479443275414454,0.015363777592756376,0.0024076229299529696,0.03131500184787245,0.04795855945655281,0.05372450829231282,0.05981930819589334,0.017092865216720175,0.0528725903680384,0.01186688541730024,0.0005467888549030198,0.004120186355151556,0.057440691904001695,0.038493058838914684,0.004131029597883543,0.0007696802541187454,0.0006065650749085791,0.05051149067774502,0.008446098224827477,0.03483378090964023,0.005133144349363643,6.055954815962494e-05,0.01607191782910931,0.0003747272292858856,0.05502026166755456,0.05985986215844151,0.02852243072299179,0.03722737250988956,0.0010061893382947303,0.0001952511405492826,0.00011263399189306832,0.0012887595530959907,0.05909188547857852,0.0497928824957208,0.05507348338065403,0.594351696164604,0.4506333987034228
CID007800-1,0.038266515504985964,0.05863433172110671,0.0067587186045959214,0.004941702910234595,0.059650929363522766,0.004315841868376672,4.895438005808776e-05,0.060640231553582155,0.00010234188123296114,0.03363423528483987,0.058237446771746804,0.020870184770941883,0.0510777300080365,0.04009573618586027,0.003338405233976112,0.03244192555493437,0.01650489188795501,0.053293687112038086,0.0005764087910972405,0.0004074102740436076,0.01680002630026965,0.0339364881338137,0.03336271402568315,0.03417945809140597,0.05134208875446895,0.002298549545006367,0.0013887803083270746,0.0001966207076452073,0.005269622236026695,0.030778019078370994,0.005080235457980078,0.003841084084981868,0.00015169430018773585,0.060843874179816675,0.0004141039061257547,0.003999146398337337,0.05979942050771116,0.05372942068555155,0.05875102363512445,0.6768865962226475,0.5370433441965715
