,CLEC9A+ DC,Inflammatory Monocyte,Mast Cell,Mature Macrophage,cDC1,cDC2,mo-DC,CD4 Helper T Cell,CD4 Tcm Cell,CD8 Effector Cell,CD8 Tcm Cell,Cycling T Cell,DP17 Cell,ILC3,Intraepithelial Lymphocyte,NK Cell,Tfh Cell,B Cell Memory,B Cell Naive,Cycling B Cell,Plasma Cell IgA,Plasma Cell IgG,Arterial Pericyte,Blood Endothelial Cell 1,Blood Endothelial Cell 2,Glial Cell,Inflammatory Fibroblast,Myofibroblast 1,Pericryptal Fibroblast RSPO3+,Pericyte,Post-capillary venules,Villus-associated Fibroblast WNT5B+,BEST4+,Enterocyte,Enteroendocrine,Goblet,M,TA,Tuft,rho_Spearman,rho_Pearson
CID005860-1,0.0214353181743775,0.0002896122326902576,0.004325599295071047,0.0003763049665295665,0.04788798892135278,0.00045587915880014487,1.8954895526008277e-05,0.0005086556987806213,0.10064097960433162,0.0006490499786298372,0.10005916620039464,0.00025991272239411664,2.1611993628874428e-05,0.07374641460097174,0.001931055935971999,0.005772017366180737,0.02404932472208267,0.05141685870664376,0.00659904668417124,0.00014775551179574365,0.01334771066553196,0.005819246990186838,0.02477084327047621,0.0008477481353125948,0.0014948002010943394,0.10105570397524963,0.0002953410625645895,0.058799666909619575,0.09356240778529747,0.00011104610298929001,4.423433839303225e-05,0.10099709566678475,0.003026432505841126,0.020373916618122132,1.0410840176572149e-05,0.01801841229589927,0.100867498937419,0.006747887306777659,0.009218089021939147,0.7016581436450907,0.4763794375137187
CID005868-1,0.009713154753451081,0.006807063283218537,1.848806478302608e-05,0.04972421021974304,0.028439431169361856,0.0007281686468438308,0.0024408250353775305,0.0017003972479042704,0.0002278049084522648,2.1142372198804046e-05,0.0035521363089080354,0.033267451269059015,0.0015970370180369378,0.024721768849981802,3.397710638483475e-05,3.330471541409548e-05,0.06801413384463878,0.0017593938742017793,0.0014273495726707316,0.054780714284525085,0.07287670727160955,0.056438762783362004,7.019262222001459e-05,0.0966089828274713,0.005555391278979064,0.0017052632480947774,0.0019007166742204236,5.541544455353218e-05,0.00048406056802665964,0.09809726576993139,0.06821724727916634,0.007370263275612056,4.161517352189203e-05,0.036193031284450373,8.719921726604064e-06,0.0664048236478942,0.09080761804268833,0.10022100880729352,0.007934961534022681,0.6703529955576993,0.41410533682889894
CID005874-1,0.04566081874642228,0.04655339505129797,9.312484880365507e-06,0.00973839031790959,0.05453570873739878,0.004289405047531086,0.0009384989884619448,0.03829004133575606,0.05970254136361827,0.0013419223606724177,0.062275833076946834,0.022913095556110846,0.009014778450758208,0.044765195634999325,0.047017251453438554,0.008865032751793449,0.0374753042583714,0.03523867494295805,0.0631549405485205,0.001482259619954702,0.004640188306654383,1.5278825994036574e-05,1.2666149465802552e-05,0.061940852815925394,0.0007315671992052157,0.011754494362031168,0.002038599486753475,0.0038127003497480756,0.057155321970960404,0.0063816409413941485,0.00021337520104658267,0.03303880691027966,0.003918328615929776,0.06265582433197249,2.8233836688652624e-06,0.006481540689726873,0.06188195360877468,0.06319520523930836,0.026866430883360076,0.640382509562739,0.4406891175034473
CID005875-1,0.06294216879402031,0.00023117624430846662,6.008284778209801e-05,0.004210402608877917,0.025723721423683874,0.0005132697102905408,0.0006701047573871166,6.915938273606774e-05,0.07143331175173688,0.00018768967423037292,0.07482697000148898,0.06893710713788861,0.0012786569528906318,0.06144499719856033,0.024343235431021116,1.0601772670210414e-05,0.06759244236222678,0.071343481337798,0.07465802625764031,0.04227537704229164,0.00577300202277844,2.2051009494317963e-05,0.014157375433085926,0.04075585072017864,0.0008354656836955557,0.005225617191948953,0.0004370721702457739,6.542307574121377e-05,0.07049969268930784,0.005666778074603798,0.005724653876020488,0.014360205613064586,1.202408398430192e-05,2.317251301821083e-06,0.007207339115915085,0.0010111475610611572,0.07214889914718549,0.07480326138662417,0.028539841204232006,0.673227330683267,0.40807726634655306
CID006320-1,0.05203777707349886,0.030160041266442065,5.1151404243432e-06,0.01347860193105216,0.05572392132616262,0.011068605358598972,0.0012553640739468347,0.004386138231914681,0.04970602016415035,0.05774029152649761,0.05345428208419896,0.043394580666186185,0.0240789293800545,0.05823168387249846,0.05794779553297803,0.0015570083665726309,0.047730751215857424,0.04117773531600525,0.0124300471043618,0.0012757198948658204,0.038729755818779237,0.0019309011550251427,0.011852108536942138,0.05841854287327177,0.002250107968192924,0.02973733658927075,0.0002338434980459914,0.0016743361411429125,0.02152984464227307,0.04131388279558208,0.028989943945748758,0.025628992597338814,0.00029673516342852517,0.00017843228337541798,1.399956467660149e-05,0.0035869032878267067,0.022931989015566527,0.05838186122333915,0.03548007337390575,0.6438346631277412,0.4611449947426103
CID006322-1,0.011478005458186766,3.909297310984976e-05,1.8355517653790733e-05,0.0013474203199344136,0.053544823476195,0.004258233077883706,0.0003178139496291425,5.890078198361514e-05,0.08166683702192762,0.00799455236938824,0.08788505660523609,0.07820166423833412,0.00045795728185511145,0.05141044286926517,0.0011195379864673133,0.000251005455232832,0.0016278925683829897,0.0013986424219692823,0.07144897047465676,0.03275711883387435,0.004412336724360325,1.0647259109449577e-05,0.02766218458783163,0.018023831771679863,0.0004387421162509029,0.017987654392408237,7.0426215842948e-05,0.0030854301714365886,0.08380136303286911,0.00043382803413725176,0.005570030436508655,0.05239134510150618,0.02604148744325066,0.061328332527207596,0.0008417769139491718,9.100603964613202e-05,0.08828828868201413,0.08832287553427162,0.03391608933455342,0.6621135528388209,0.42420232187396434
CID006328-1,0.023715328230554774,0.00010446593228939223,0.0007973818357229073,0.03667542755172506,0.02225434638427542,0.0006439524594117896,0.0007920307005900519,2.2048057541628424e-05,0.0010253468504916809,0.00027471211674720216,0.09290204535720006,0.005574334586799118,0.0001625720153719597,0.029799328140728755,0.010112069687982804,0.0010617579032355788,0.10195727994726894,0.03171243857730422,0.025173848821191988,0.0003150940778803992,0.005491190429937858,0.0001080828497869314,0.06235369647125942,0.03723898910190897,0.0001224431570126053,0.007518564652675423,2.346133740093965e-05,0.0008327315781396383,0.10747640774788929,0.0008316793401885952,0.09566948167659714,0.12399979084885238,0.00032699060182750486,4.9750368551056884e-05,5.2940091778168986e-05,0.0004519642567911833,0.12295841882047494,0.03165719070433949,0.01776041673027488,0.6731444769878417,0.41468748685270895
CID006331-1,0.038306460183791066,5.910291153193353e-05,0.00015453612409913433,0.0005563094797666439,0.060597993565583215,0.054966708029175276,0.0012785474945826397,0.004764099754874047,0.0019982232207352035,0.062469262680323115,0.055054030869065976,0.06258669183095067,0.061781143884669376,0.015748458214971953,0.0636028569068108,0.0011617316058362462,0.06523066330495861,0.060784245903402916,0.0652256924479817,0.02346244720019289,0.001189429610467261,0.028932590406319087,0.0009055608200203062,0.03906329814246864,0.011752515386691281,0.008652771097646457,0.0003409643255585267,0.0035343158676816658,0.013252781290036821,2.9720797408029723e-05,0.00212967973709013,0.009682124809655206,0.001567568156222717,0.00023275674992958927,0.0004838730692781185,8.772845777154984e-05,0.05212526961930837,0.06482309287534255,0.061424753167800196,0.6723597112251565,0.45714816038293793
CID006336-1,0.052481730899431304,0.0001897988878235989,0.001527427889871953,0.0004125055927455728,0.03478460895585691,0.000608091780943809,0.0001536959402389798,0.0014497366696268068,0.07973987816848782,0.0010461180316339931,0.0809177494741129,0.02812293157207439,0.0017490825067762224,0.05583846874214369,0.07286029028901225,0.0011111113441441738,0.04408164255849934,0.011753582933362414,0.05264489596335232,0.01318202067640961,0.015651800732723743,0.0017597813583216854,0.01861741733776185,0.014445894053345641,8.463674059018691e-05,0.013496529253409195,8.163022353471598e-05,0.01728514596845634,0.08154208308109417,0.0011661984635119283,5.450868203803181e-05,0.0803049735760251,0.0008181369072785486,0.030421178666715523,0.0002852277622980297,0.00025139177449859244,0.07813908605349845,0.080025932503373,0.030913077984977305,0.6479338748131551,0.4536809412372387
CID006340-1,0.0349668498565566,0.04253390236752322,2.783967064845778e-05,0.0034316314422246285,0.03406529675183552,0.01576579471116724,0.0008964085810726649,0.0004920364928085754,0.061828758308076805,0.06397206928792559,0.060656836144202926,0.015110981283221369,0.013998464401456393,0.011780578052534489,0.06382723155582219,0.0114103896689314,0.06176830892683582,0.06262506767176922,0.0636109225121918,0.0006018203743696763,0.003702806189319874,0.06264927266319385,0.0003489708093055539,0.06167225926762319,0.006550279118630382,0.011305122646993754,0.0013871983661035148,0.00043049840554635976,0.007264530191118126,0.05979517783666709,0.010200155347340633,0.0016709116283840234,1.0513855621833005e-05,0.0019066291245824355,7.998457236694266e-05,0.0016361690683859627,0.0640015241541877,0.05506687094661966,0.026949937746834567,0.668250342622202,0.44584678889659135
