,F0222,F0223,F0224,F0229,F0230,F0231,F0232,F0274,F0303,F0304,F0305,F0306,F0307,F0308,F0460,F0462,F0590,F0591,F0592,F0594,F0595,F0596,F0597,F0598,F0599,F0600,F0601,F0602,F0603,F0604,F0605,F0606,F0607,F0617,F0618,F0619,F0620,F0621,F0622,F0623,F0624,F0626,F0627,F0628,F0629
cDC,0.08030502693422482,3.1637086082953374,0.01609461151159223,1.5250501193285055,0.06678734173360931,0.004871566061606159,0.0001634941332604148,0.035965285292298865,0.0008874975555587858,0.008905420519241456,0.01165835475926294,0.0009266900220922084,0.02612361765462084,0.018473888005440073,0.01214986948814784,0.000496545847546289,0.027054363637973238,0.0005170765907317129,0.006598799264792473,0.001488016981229986,0.0015128619610061565,0.01131006058864743,0.0013352166629579745,0.0018153931181188777,0.0037765504248561377,0.04752605560655835,0.049422543539063786,0.03443881445694233,0.013752604083244033,0.0111060197472896,0.00787168213826764,0.018508446754164513,0.0045150657961329855,0.008678654319947972,0.004103942653483066,0.020720236328697433,0.05204294033853251,0.07042772601557895,0.00012538222060681336,0.04543583846594427,3.073835624647838e-05,0.027041654605963545,0.00175694773523656,0.026989216032627796,0.006853359672193405
platelet_cont,0.5300417787456883,0.4567399441859788,0.3820947183223998,0.8633626823924205,0.8670191142377823,1.1393388301790752,2.337745717223454,0.8274964812987429,0.030068101380951718,0.5335617550007097,0.19382865280366404,1.8468815441810968,1.2791071598526764,1.2882218535106285,0.05011878037452636,0.16119899241124172,0.1660134591385747,0.0013518992806757788,0.5445996835390201,0.7294515646401364,0.579668497290263,0.24450299862897512,1.3465256944355009,0.6297436268071732,0.2898182522471164,0.9184972318544905,0.8453989492568764,1.0942402253676253,1.76758654700548,1.0029146816583165,1.5406837116417416,0.7887293896839164,0.9275636346831172,0.8077258198946077,0.02945473374150418,0.0019882294435467126,0.05008405028422932,0.6631184079888061,0.0012408529993437516,0.045930958341288776,0.01410470866732218,0.018480272976067524,0.5358604121552978,0.42565982850860307,0.020938769020596614
CD14-PPBP,8.605216665811675,0.45703295917444675,0.0781806949955686,0.07606450521403141,0.05637642887381186,0.02822994189793981,0.019490724826525408,0.015570220177398578,0.5714443763878742,0.2102050541420194,0.6226463406270395,2.753240374472506,0.019772199322069937,0.0618986447388481,0.06478143792509714,2.3036488869751692,0.13329629506926183,0.05827689482834418,0.006002119765201395,1.5310758603329377,0.9888046401749171,3.4151466679636875,2.760279160261183,4.468701007589794,3.904130402648854,0.10825803075155581,6.276527964944971,0.13280541043812585,0.08696238245906543,2.701103302605075,0.01189655895552212,0.4564547500159467,0.07902978708218401,0.3906209733927267,0.0891799855720947,0.038020692826366324,0.014672390321796958,3.4715799159463954,0.1740749670472494,0.026005226827005783,0.002833664134892736,0.017268356277047512,4.120475917122586,0.024375914441964807,0.028150640862992335
HSC,0.003412445548946391,0.0007052357563091068,0.00010778976008958369,0.0034446443904243753,0.0,0.0011777198876138095,0.007288328455424204,0.018242005438724278,0.008315947023570702,0.005892025847357171,0.01034130380575448,0.011758261932600662,0.014318427156006428,0.008700941295394057,0.009083244695727369,0.002877980737128971,0.0,0.0013589189799024907,0.007600176455380698,0.006356974564197213,0.010876864203542405,0.0027887193735511226,0.000944187900945405,0.0008404489705158181,0.007663102113685614,0.002775309256959409,0.0029321536218150533,0.028388404139218577,0.008566596010493125,0.0028602310452911484,0.022064022022609046,0.015303167694755756,0.002989391105899676,0.0015169562681965035,0.04293699621613115,0.0069982169137305286,0.021571577317251428,0.004943217347072279,0.003722476053068385,0.013949652714400667,0.043441945888284914,0.01646288224004577,0.012747718396254288,0.0006365847435785658,0.0016630249778175066
pDC,0.1204241988832892,0.6419316502208685,0.09125190701181701,0.04676648132190114,0.0,0.002682887964415618,0.03443011019189238,0.06715322539763262,0.022418404933250934,0.000862461035720056,0.0009559431002534109,0.01334336295555843,0.030976541266179398,0.001167023175238822,0.006546844965908738,0.010114129684540958,0.0044050768402695405,0.0060599905040789135,0.0037136832708124343,0.001302444982511606,0.0009452595563165725,0.018151196786221086,0.03504374616994519,0.005236149387910417,0.0982094094968625,0.0045141470167197285,0.007958312425050632,0.00046870609519613173,0.006836126234686864,0.034071048793475535,0.007527340739160828,0.02398301784360046,0.005694640953721681,0.0045731601592952885,0.010855535165680514,7.937109052034561e-05,0.0018513688332112111,0.02561170518103494,0.03783160504072388,0.03883144100155539,0.006895997398629111,0.10730505480796038,0.006469777642136749,0.00830016541413432,0.00010731333387828115
other,2.657071181951456,6.2440984433965525,3.8053658063099327,6.25417088521681,3.6094156225892364,6.151112580182318,6.440848591261878,6.42499061420926,3.429489900380282,3.7397587822520304,7.084601466226095,5.47959108023249,3.787226333371145,3.4116433607821106,0.004453961000568575,3.1851674776909666,3.668050684877992,5.901115038362711,1.6529894844824495,7.642065219671792,5.16055474707239,4.6203458508937425,7.497526663336473,0.2763730007104109,3.1184212544955967,8.933061484032585,6.559009195450119,4.788827105392947,7.4968390983172375,5.767262487701114,6.3680238522165284,3.499957164580266,8.394507158473493,5.188454576564174,2.0018820087765254,4.39708976387541,2.4894270902137654,3.871405852367483,2.9065504684874477,2.8342476371708507,4.443546995257833,2.204036293321731,4.222466623491575,2.518778716987988,3.445162461697909
rho_Spearman,71.55399892172767,74.01522440888823,71.65878505774548,72.30759598427761,76.93466739536838,73.88582005733339,72.05739318360534,67.96123173633978,67.59724247764369,67.17899167595962,67.23546008125554,68.05175859863625,68.26872559400199,69.08912363095702,55.956618251657986,67.5366710435805,69.03898647998977,65.75295539850714,69.70945353081558,65.76010627477578,67.41359507948161,68.0810343630034,67.52812390755241,69.18923720649333,68.39230176239481,68.2423888889226,65.33448553033244,66.77885771534211,69.89667262834168,66.43139049061138,68.12029210794982,68.14270111450902,67.46615678644747,64.89110475750778,58.68466490216594,61.98100585879073,67.0607015363531,66.71030501693674,67.10275073421028,64.72889115903833,68.34187526848095,64.03728409971167,68.6815552778598,65.66520262242841,62.38055519788641
rho_Pearson,79.42067437092463,80.7342574158506,77.35670651699157,78.97796081564876,79.15856443171717,79.6592474441781,77.398458118746,70.69002590568651,70.50923846089036,73.67090090369598,67.9206521077684,74.73462624388954,68.41540363646573,71.47561532002806,53.28625684735013,71.86078573144773,72.3078429210206,69.24997299119495,75.99405321293594,73.12948254725292,68.04062387615544,75.1372644761793,74.08173907971162,81.92583038719096,79.04696953763657,73.09062118782879,77.74991839532397,66.36605592841394,73.16387516358135,73.67656289924092,76.88751466028863,77.05757630421728,78.67234583070156,70.8917247076882,58.02900848406575,65.514301544442,70.45705545383638,75.56571850774718,78.03924945304887,73.11243628728718,72.47112075644529,69.06783995581928,80.7221896198934,65.30271573340553,68.83827363850045
B_cells,5.8294883070873045,3.2275636577734548,6.076103434743729,4.127177709354088,5.412785245436558,7.0801911045241255,0.0934237975013007,1.067733336089458,4.150962990724522,4.2338735201050195,3.3249102364982352,2.8775523932818547,3.1584214912568775,4.479888798362062,0.011650532846857865,4.663033386250021,4.8806987275920175,2.463435582928785,5.8757018655137765,2.893952981787522,5.161461889287176,3.8782351705886895,7.22095137263938,6.1512789706876,5.834778573211281,4.546718649461568,2.800136951003041,1.2700167664248911,3.3444336111226303,4.207455194962626,4.396665358562176,2.8218950364521365,3.92116200301196,3.6970083134089533,2.378274992837342,2.1453876673242673,2.0412180004007996,3.783605171684502,5.6987183854325,4.155162985638855,2.277111543510184,6.644390096244546,6.048763746749184,2.199635924188409,3.383509543373118
CD4_T_cells,3.1106137990553835,11.505926734534661,4.835503382079003,7.355615844999976,3.7021550048946352,1.9071072388913906,8.13549631918114,0.04594851003490859,2.753929577527873,6.061428937765381,0.1637468796643326,2.71482535991086,0.08118147970969915,4.846896277508666,0.01843352541528176,4.4109163319178375,4.9448024591274145,0.6241425098496924,2.2236198186733604,1.2781228364357,5.540694228335638,0.8597919736865657,0.04467813580636416,10.504957124657317,6.785294977714356,0.023921402711900495,8.277305812121174,0.02869938738263754,0.0054233435288867865,3.088293892481573,7.1226000518892425,7.659075185534021,5.108670614969078,0.12649670887876197,0.11818379366974754,0.04044527401208569,0.03580618817346734,9.476742662666268,11.955431496006897,1.790224072016244,0.10560125257785803,0.1570254466826691,7.653121764008764,0.07665246306568099,0.09077035371192145
CD8_T_cells,15.180729701571055,7.391514210927445,19.260316514615013,14.409263537233215,6.215764699637662,15.099179660493506,1.9804559823213674,0.5436636590005822,2.881003289830714,4.609305440345018,0.0068385394588018015,2.7348880101771247,0.8736823995072696,5.197137534737767,0.00246505098471752,2.6152204819281897,0.15452516292732094,0.24547867710370466,2.1204493587807223,0.5188937684080391,3.0880954567775563,6.775895978478252,12.97101111571991,1.709641110612774,6.332664901831656,7.734916567964814,1.0448731083115463,0.024890141000651615,0.10394319298896931,8.523381853623246,2.9082276140668366,1.2877754964528898,2.550045427983251,3.4968112932961253,0.4577906526244479,0.6147091667529827,0.24696255697192948,2.640353995179834,8.079043448127406,4.669295757541909,0.015689898107845567,7.31782877792446,1.4411282537234986,0.07492046188549203,1.643660637803957
NK_cells,9.44017922635554,7.88073740580081,18.347124414607848,0.9915905812217829,4.865979897016994,2.7310118463610213,2.6493147556749133,5.15790147477343,2.7537508575287957,15.202649251217561,8.02835965353917,15.633093743191553,8.533868795224295,15.681684764118026,2.238890984813265,2.6668714172318433,6.210110923552134,3.8592668716176934,4.81166849898812,4.622499876309086,1.8602556095069895,4.938145189890823,0.026981921594244097,9.124332976332344,2.493503809980871,5.550840951322914,8.649479326336374,5.533535555295005,7.257987388559115,5.318485611648767,5.790479469549173,5.89674000433457,6.195553343410966,3.6038119648671887,3.481407095766372,4.943317845390716,7.654537682067892,2.4690421832462532,1.2764483304087682,4.0975103210205095,5.058969080745999,2.9507875725691037,7.51926729588404,5.535276471354934,7.667466383625254
Tregs,6.020825681122677,2.234281564955393,1.174222092419271,2.278305360211209,2.678025138666788,1.2990162146373077,0.20916035332902452,0.021489342477981024,0.014314168760129895,0.2524629282144591,0.016112452779663687,3.1825646901782765,0.07848233503699902,4.132695548103473,0.021446355092075292,0.35994280557255004,1.8104591580724436,2.4853979159043598,0.2942770029277819,0.6719476092725849,3.5425730959572888,0.32442396356800235,1.2237738052111746,0.3394977966300625,0.9621893873065499,0.08125190433293793,5.844865821212424,0.0,0.10490372090536046,1.6827027901106684,5.661775690165689,4.186545825806834,1.4727564419936487,0.08328371233539188,0.12442555949499659,0.04229174046392467,0.12788814984780772,0.9411543071655855,1.0797145642368566,0.1388022425000306,0.015035401593301804,0.5814464594290311,1.293755759456216,0.08508445525819815,0.0028409579727355794
T_cells,24.58025144665302,21.16777426643189,25.365176538351516,24.074950056155348,12.85605756632466,18.359382178971238,10.95357817838644,0.664662147122888,5.6830655077446535,11.000099271014708,0.23226244721167005,8.971888882703562,1.6387156630212831,14.311809753962772,0.055029753280852536,7.7858827443286724,7.2296616092142845,4.540021568686813,5.053082157443113,3.8046199583460547,12.178413062994874,8.189915509719224,14.325200031161787,12.661582246445063,15.080667884634758,7.906163725917373,16.185320446150712,0.08558651583142582,0.3380924848798653,14.689327346420638,15.990814056393983,13.65885796567875,9.186598232136335,3.706784320424919,0.7408922234692888,0.7059813360871983,0.5204981923523189,13.087211455704761,21.251671925320796,6.640223122121353,0.1722827429616558,8.112390790612729,10.927445003438624,0.2522079089332845,1.8079334830525684
Lymphocytes,39.849918980095865,32.27607533000616,49.788404387703096,29.19371834673122,23.134822708778213,28.170585129856384,13.696316731562654,6.890296957985776,12.58777935599797,30.43662204233729,11.585532337249074,27.48253501917697,13.331005949502456,34.473383316442856,2.3055712709409755,15.115787547810537,18.320471260358435,10.862724023233291,15.74045252194501,11.321072816442662,19.20013056178904,17.006295870198738,21.573133325395414,27.937194193465007,23.40895026782691,18.003723326701856,27.634936723490128,6.889138837551322,10.94051348456161,24.21526815303203,26.177958884505333,22.377493006465457,19.303313578559262,11.007604598701061,6.600574312073003,7.794686848802182,10.21625387482101,19.339858810635516,28.226838641162065,14.892896428780718,7.5083633672178385,17.70756845942638,24.49547604607185,7.987120304476628,12.858909410050941
