sample,Arterial Pericyte,Blood Endothelial Cell,CD209+ moDC,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Tfr,CD4 Th1,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Fibroblast,GC-like B cell,Glial Cell,Goblet Cell,IL7R+ Activated DC,ILC3,Inflammatory Fibroblast,LTB+ DC,Lymphatic Endothelial Cell,MAIT,Mast Cell,Memory B cell,Monocyte Inflammatory,Myofibroblast,NK,Naive B cell,Pericyte,Plasma Cell,Plasmablast,Post-capillary venules,Proliferating Stromal Cell,Proliferating T cells,Proliferating myeloid,Resident Macrophage,Smooth Muscle Cell,Tuft Cell,gd T cell 1,gd T cell 2
CID006336-1,0.00792697573865,0.0228200816718712,0.0045640163343742,0.0619745375930819,0.0665385539274561,0.0233005044439106,0.0002402113860196,0.0,0.0009608455440787,0.0002402113860196,0.0112899351429257,0.0136920490031227,0.0184962767235166,0.0160941628633197,0.0009608455440787,0.0002402113860196,0.0052846504924333,0.018976699495556,0.0043238049483545,0.0026423252462166,0.1460485226999759,0.0038433821763151,0.2416526543358155,0.0009608455440787,0.02378092721595,0.0021619024741772,0.000720634158059,0.0093682440547681,0.0,0.0,0.0,0.0028825366322363,0.0084073985106894,0.0345904395868364,0.0012010569300984,0.0172952197934182,0.005524861878453,0.0098486668268075,0.0060052846504924,0.1551765553687245,0.0012010569300984,0.0096084554407878,0.0002402113860196,0.000720634158059,0.0009608455440787,0.0036031707902954,0.0,0.0040835935623348,0.029305789094403,0.0002402113860196
CID006340-1,0.0072438771990341,0.0267333563297688,0.0051741979993101,0.1195239737840634,0.0336322869955156,0.0262159365298378,0.0,0.0079337702656088,0.0056916177992411,0.0037944118661607,0.0489824077268023,0.0150051741979993,0.0250086236633321,0.01879958606416,0.0006898930665746,0.0006898930665746,0.0063815108658157,0.019834425664022,0.000517419799931,0.0,0.0400137978613314,0.004656778199379,0.0275957226629872,0.003621938599517,0.0175922731976543,0.0086236633321835,0.002069679199724,0.003104518799586,0.0032769920662297,0.0012073128665056,0.0,0.0001724732666436,0.0008623663332183,0.0733011383235598,0.0381165919282511,0.0043118316660917,0.0212142117971714,0.177302518109693,0.0298378751293549,0.0677819937909624,0.001034839599862,0.0131079682649189,0.0017247326664367,0.0062090375991721,0.0001724732666436,0.0058640910658847,0.0008623663332183,0.0017247326664367,0.0719213521904104,0.0008623663332183
CID006468-1,0.0036843721215842,0.0250230273257599,0.000460546515198,0.1656432299662266,0.0569542523794903,0.0308566165182683,0.0,0.0,0.0039914031317163,0.00076757752533,0.0176542830825913,0.0130488179306109,0.0201105311636475,0.0342339576297206,0.001074608535462,0.0015351550506601,0.0062941357077064,0.0153515505066011,0.0033773411114522,0.0093644458090267,0.1369358305188824,0.0023027325759901,0.0023027325759901,0.0122812404052809,0.000921093030396,0.0016886705557261,0.000153515505066,0.0081363217684986,0.0,0.000153515505066,0.0,0.000307031010132,0.000460546515198,0.1438440282468529,0.001074608535462,0.0,0.0095179613140927,0.2129260055265582,0.0019957015658581,0.0339269266195885,0.0018421860607921,0.0044519496469143,0.000307031010132,0.0026097635861221,0.001228124040528,0.0013816395455941,0.000307031010132,0.0024562480810561,0.0069081977279705,0.000153515505066
CID006469-1,0.0004309416074121,0.0025856496444731,0.0,0.0071105365223012,0.202758026287438,0.0021547080370609,0.0,0.000215470803706,0.0004309416074121,0.0,0.0043094160741219,0.0161603102779573,0.0848954966602025,0.000215470803706,0.000215470803706,0.0004309416074121,0.0019392372333548,0.0030165912518853,0.0073260073260073,0.0030165912518853,0.2197802197802197,0.0004309416074121,0.0019392372333548,0.0,0.0180995475113122,0.0364145658263305,0.000215470803706,0.006679594914889,0.0,0.0,0.0,0.0004309416074121,0.0092652445593622,0.0312432665373841,0.0012928248222365,0.0004309416074121,0.0012928248222365,0.0004309416074121,0.0043094160741219,0.2904546433958199,0.0,0.00883430295195,0.000215470803706,0.000215470803706,0.0006464124111182,0.0004309416074121,0.0,0.0168067226890756,0.0129282482223658,0.0
CID006478-1,0.0265916645359243,0.0700588084888775,0.0046024034773715,0.0033239580669905,0.0795193045256967,0.009204806954743,0.0002556890820761,0.0007670672462285,0.0194323702377908,0.0020455126566095,0.0250575300434671,0.0130401431858859,0.0153413449245717,0.0015341344924571,0.0002556890820761,0.0010227563283047,0.0048580925594477,0.0086934287905906,0.0017898235745333,0.0020455126566095,0.1217080030682689,0.0214778828944004,0.062899514190744,0.0023012017386857,0.0140628995141907,0.0033239580669905,0.0030682689849143,0.0056251598056762,0.0017898235745333,0.0,0.0,0.0015341344924571,0.0023012017386857,0.0345180260802863,0.0053694707236001,0.0,0.0081820506264382,0.017131168499105,0.0403988749680388,0.2531321912554334,0.0227563283047813,0.0115060086934287,0.0017898235745333,0.0028125799028381,0.0005113781641523,0.0086934287905906,0.0,0.0127844541038097,0.0496036819227818,0.0012784454103809
CID006480-1,0.0041771094402673,0.0659983291562238,0.0008354218880534,0.0008354218880534,0.0827067669172932,0.0008354218880534,0.0,0.0050125313283208,0.0183792815371762,0.0041771094402673,0.0492898913951545,0.1495405179615705,0.0025062656641604,0.0,0.0016708437761069,0.0016708437761069,0.0066833751044277,0.0242272347535505,0.0,0.0200501253132832,0.0543024227234753,0.0008354218880534,0.012531328320802,0.0008354218880534,0.0659983291562238,0.0066833751044277,0.0016708437761069,0.0091896407685881,0.0,0.0008354218880534,0.0,0.0008354218880534,0.0,0.0350877192982456,0.0075187969924812,0.0,0.0593149540517961,0.0434419381787802,0.0192147034252297,0.1286549707602339,0.0267335004177109,0.0284043441938178,0.0008354218880534,0.0091896407685881,0.0016708437761069,0.0175438596491228,0.0,0.0033416875522138,0.0267335004177109,0.0
CID006484-1,0.0078585461689587,0.056237721021611,0.0022102161100196,0.0390471512770137,0.118369351669941,0.0446954813359528,0.0,0.0002455795677799,0.0137524557956778,0.0012278978388998,0.0336444007858546,0.0564833005893909,0.0211198428290766,0.0191552062868369,0.0002455795677799,0.0009823182711198,0.0073673870333988,0.018664047151277,0.0031925343811394,0.0007367387033398,0.0704813359528487,0.0036836935166994,0.005893909626719,0.0049115913555992,0.0582023575638506,0.0157170923379174,0.0002455795677799,0.006139489194499,0.0,0.0,0.0,0.0046660117878192,0.0,0.0633595284872298,0.0019646365422396,0.0,0.0108055009823182,0.0491159135559921,0.0132612966601178,0.1893418467583497,0.0044204322200392,0.0076129666011787,0.0,0.0063850687622789,0.0022102161100196,0.006139489194499,0.0,0.0112966601178781,0.0189096267190569,0.0
CID006486-1,0.0030763971970603,0.0295675952828576,0.0099128354127499,0.0126474106990258,0.0950264911980858,0.0052982396171594,0.0,0.0116219449666723,0.0076909929926508,0.0018800205093146,0.0442659374465903,0.039822252606392,0.0176038284054007,0.0112801230558878,0.0041018629294137,0.0017091095539224,0.0073491710818663,0.0105964792343189,0.0061527943941206,0.0,0.1105793881387797,0.0136728764313792,0.0102546573235344,0.0,0.0396513416509998,0.0083746368142197,0.0010254657323534,0.0049564177063749,0.0001709109553922,0.0,0.0,0.0041018629294137,0.0037600410186292,0.0030763971970603,0.0140146983421637,0.0001709109553922,0.0292257733720731,0.0034182191078448,0.0082037258588275,0.3125961374124081,0.0003418219107844,0.0141856092975559,0.0020509314647068,0.0064946163049051,0.0006836438215689,0.0030763971970603,0.0,0.0047855067509827,0.0799863271235686,0.0015381985985301
CID006493-1,0.008382229673093,0.0444258172673931,0.0022352612461581,0.0128527521654093,0.0810282201732327,0.0162056440346465,0.0,0.0027940765576976,0.0086616373288628,0.0019558535903883,0.0340877340039117,0.0075440067057837,0.0089410449846325,0.0117351215423302,0.001117630623079,0.001117630623079,0.008382229673093,0.0134115674769488,0.0067057837384744,0.0044705224923162,0.1139983235540653,0.0176026823134953,0.0972338642078793,0.0041911148365465,0.0201173512154233,0.0067057837384744,0.0025146689019279,0.0092204526404023,0.0008382229673093,0.0,0.0,0.004749930148086,0.001117630623079,0.0522492316289466,0.004749930148086,0.0025146689019279,0.0245878737077395,0.201173512154233,0.0279407655769768,0.0458228555462419,0.0019558535903883,0.0189997205923442,0.0002794076557697,0.0103380832634814,0.0005588153115395,0.0094998602961721,0.0,0.0086616373288628,0.0363229952500698,0.0
CID006494-1,0.0181323662737987,0.028467815049864,0.0050770625566636,0.1205802357207615,0.0698096101541251,0.0750679963735267,0.0003626473254759,0.0005439709882139,0.0036264732547597,0.0010879419764279,0.0484134179510426,0.0295557570262919,0.0177697189483227,0.0219401631912964,0.0007252946509519,0.0016319129646418,0.0050770625566636,0.0023572076155938,0.0029011786038077,0.0010879419764279,0.1019038984587488,0.0007252946509519,0.0516772438803263,0.0010879419764279,0.0455122393472348,0.0034451495920217,0.0014505893019038,0.013961922030825,0.0,0.0,0.0,0.0016319129646418,0.0061650045330915,0.0529465095194922,0.0027198549410698,0.0018132366273798,0.013599274705349,0.098640072529465,0.0099728014505893,0.0837715321849501,0.0023572076155938,0.0116047144152311,0.0003626473254759,0.0030825022665457,0.0014505893019038,0.0010879419764279,0.0005439709882139,0.0036264732547597,0.0304623753399818,0.0001813236627379
