sample,Arterial Pericyte,Blood Endothelial Cell,CD209+ moDC,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Tfr,CD4 Th1,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Fibroblast,GC-like B cell,Glial Cell,Goblet Cell,IL7R+ Activated DC,ILC3,Inflammatory Fibroblast,LTB+ DC,Lymphatic Endothelial Cell,MAIT,Mast Cell,Memory B cell,Monocyte Inflammatory,Myofibroblast,NK,Naive B cell,Pericyte,Plasma Cell,Plasmablast,Post-capillary venules,Proliferating Stromal Cell,Proliferating T cells,Proliferating myeloid,Resident Macrophage,Smooth Muscle Cell,Tuft Cell,gd T cell 1,gd T cell 2
CID005774-1,0.0238315594632114,0.0168903285515964,0.0011568718186024,0.0043961129106894,0.0439611291068949,0.0009254974548819,0.0,0.0,0.0,0.0,0.0043961129106894,0.0101804720037019,0.0120314669134659,0.0,0.0002313743637204,0.0,0.0018509949097639,0.1649699213327163,0.0083294770939379,0.0002313743637204,0.4025913928736696,0.0004627487274409,0.1043498380379454,0.0,0.0168903285515964,0.0328551596483109,0.0,0.0016196205460434,0.0,0.0,0.0002313743637204,0.0,0.0013882461823229,0.0011568718186024,0.0002313743637204,0.0006941230911614,0.0,0.0,0.0083294770939379,0.1207774178621008,0.0,0.0055529847292919,0.0006941230911614,0.0,0.0002313743637204,0.0004627487274409,0.0004627487274409,0.0067098565478944,0.0009254974548819,0.0
CID005775-1,0.0046645935139937,0.0148822745446468,0.0097734340293203,0.0028876055086628,0.1559306974677921,0.0028876055086628,0.0,0.0004442470013327,0.0106619280319857,0.0,0.0142159040426477,0.0288760550866281,0.0739671257219013,0.0002221235006663,0.0008884940026654,0.0002221235006663,0.0126610395379831,0.2674366948023101,0.00244335850733,0.0002221235006663,0.0730786317192359,0.0006663705019991,0.0255442025766326,0.0004442470013327,0.0077743225233229,0.00244335850733,0.0,0.0026654820079964,0.0,0.0006663705019991,0.0013327410039982,0.026432696579298,0.0019991115059973,0.0188804975566414,0.0019991115059973,0.0017769880053309,0.0073300755219902,0.0033318525099955,0.0022212350066637,0.2081297201243891,0.0002221235006663,0.0046645935139937,0.0002221235006663,0.0008884940026654,0.0002221235006663,0.0002221235006663,0.0002221235006663,0.0011106175033318,0.0019991115059973,0.0002221235006663
CID005776-1,0.0172139830508474,0.0132415254237288,0.0045021186440677,0.0071504237288135,0.0778601694915254,0.0143008474576271,0.0,0.0007944915254237,0.0015889830508474,0.0,0.0063559322033898,0.0201271186440677,0.0402542372881355,0.0013241525423728,0.0,0.0005296610169491,0.001853813559322,0.0402542372881355,0.001853813559322,0.0005296610169491,0.1059322033898305,0.0007944915254237,0.1281779661016949,0.0005296610169491,0.0685911016949152,0.0045021186440677,0.0,0.0002648305084745,0.0,0.0,0.0,0.0031779661016949,0.0029131355932203,0.0421080508474576,0.0007944915254237,0.0047669491525423,0.0029131355932203,0.0095338983050847,0.0185381355932203,0.3273305084745763,0.0015889830508474,0.0039724576271186,0.0,0.0015889830508474,0.0005296610169491,0.0023834745762711,0.0002648305084745,0.0047669491525423,0.0132415254237288,0.0010593220338983
CID005777-1,0.0075813157251161,0.0129616043042308,0.0044020542920029,0.0053802885791146,0.0829053558327219,0.0053802885791146,0.0002445585717779,0.0002445585717779,0.0007336757153338,0.0002445585717779,0.0070921985815602,0.0190755685986793,0.0320371729029102,0.0002445585717779,0.0,0.0002445585717779,0.0031792614331132,0.0914649058449498,0.0063585228662264,0.0004891171435558,0.3700171191000244,0.0002445585717779,0.0613842015162631,0.0002445585717779,0.0261677671802396,0.0183418928833455,0.0002445585717779,0.0004891171435558,0.0,0.0,0.0,0.0017119100024455,0.0012227928588897,0.0210320371729029,0.0,0.0026901442895573,0.0022010271460014,0.0056248471508926,0.003912937148447,0.1870873074101247,0.0002445585717779,0.0034238200048911,0.0,0.0009782342871117,0.0004891171435558,0.0009782342871117,0.0,0.0061139642944485,0.0048911714355588,0.0
CID005778-1,0.0052698528075595,0.0083590768671633,0.0041795384335816,0.0034526621842631,0.0790477921133926,0.0090859531164819,0.0,0.0007268762493185,0.0014537524986371,0.0001817190623296,0.0096311103034708,0.0139923677993821,0.0258041068508086,0.0,0.0007268762493185,0.0,0.008540795929493,0.0334363074686534,0.0112665818644375,0.0063601671815373,0.2349627475922224,0.0014537524986371,0.1793567145193531,0.0005451571869889,0.0067236053061966,0.0069053243685262,0.0001817190623296,0.0018171906232963,0.0,0.0001817190623296,0.0,0.0038161003089224,0.0041795384335816,0.0494275849536616,0.0009085953116481,0.0069053243685262,0.0041795384335816,0.012538615300745,0.0021806287479556,0.2471379247683082,0.001998909685626,0.0052698528075595,0.0001817190623296,0.0016354715609667,0.0,0.0001817190623296,0.0007268762493185,0.0029075049972742,0.0021806287479556,0.0
CID005779-1,0.0056751004965712,0.0148971388034996,0.0061480255379522,0.0007093875620714,0.0785055568692362,0.0016552376448332,0.0,0.0002364625206904,0.0023646252069047,0.0,0.003546937810357,0.0063844880586427,0.0446914164104989,0.0,0.0007093875620714,0.0002364625206904,0.0023646252069047,0.4566091274532987,0.0066209505793331,0.0014187751241428,0.2310238827145897,0.0016552376448332,0.0279025774414755,0.0004729250413809,0.0070938756207141,0.0063844880586427,0.0,0.0016552376448332,0.0,0.0,0.0014187751241428,0.0002364625206904,0.0082761882241664,0.0061480255379522,0.0009458500827618,0.0016552376448332,0.0011823126034523,0.0011823126034523,0.0028375502482856,0.0480018917001655,0.0,0.0054386379758808,0.0004729250413809,0.0,0.0009458500827618,0.0042563253724284,0.0007093875620714,0.0018917001655237,0.0049657129344998,0.0004729250413809
CID005780-1,0.0167883211678832,0.0236009732360097,0.0038929440389294,0.0209245742092457,0.0523114355231143,0.0143552311435523,0.0,0.0,0.0014598540145985,0.000243309002433,0.0206812652068126,0.018978102189781,0.0058394160583941,0.000243309002433,0.0,0.0004866180048661,0.0119221411192214,0.067639902676399,0.0036496350364963,0.0075425790754257,0.3386861313868613,0.0,0.0355231143552311,0.0009732360097323,0.0347931873479318,0.0063260340632603,0.0,0.0031630170316301,0.0,0.0,0.0,0.0012165450121654,0.0017031630170316,0.0274939172749391,0.0021897810218978,0.0004866180048661,0.0058394160583941,0.0287104622871046,0.0111922141119221,0.2182481751824817,0.0009732360097323,0.0031630170316301,0.0,0.0004866180048661,0.0014598540145985,0.0021897810218978,0.0004866180048661,0.0007299270072992,0.0031630170316301,0.000243309002433
CID005781-1,0.0074140642552235,0.021343518310492,0.0033700292069197,0.003819366434509,0.031678274545046,0.0020220175241518,0.0,0.0002246686137946,0.0017973489103572,0.0,0.0060660525724556,0.0069647270276342,0.0172994832621882,0.0002246686137946,0.0,0.0,0.003819366434509,0.210963828353179,0.0107840934621433,0.0013480116827679,0.3322848798022916,0.0011233430689732,0.0541451359245113,0.0,0.0184228263311615,0.0170748146483936,0.0002246686137946,0.0015726802965625,0.0,0.0,0.0,0.0,0.0011233430689732,0.0035946978207144,0.0011233430689732,0.0008986744551786,0.0008986744551786,0.0006740058413839,0.0047180408896877,0.2136598517187149,0.0002246686137946,0.0062907211862502,0.0,0.0011233430689732,0.0002246686137946,0.0,0.0008986744551786,0.0013480116827679,0.0078634014828128,0.0013480116827679
CID005782-1,0.0074942584310407,0.0161972682219267,0.0044723800314275,0.0015713767677988,0.0441194246343527,0.0014505016318143,0.0,0.0,0.0003626254079535,0.000241750271969,0.0024175027196905,0.0038680043515048,0.0036262540795358,0.0,0.000241750271969,0.0001208751359845,0.0039888794874894,0.0715580805028405,0.030460534268101,0.0030218783996131,0.391031064909948,0.0012087513598452,0.1270397679197389,0.0,0.0047141303033965,0.0279221564124259,0.000241750271969,0.0014505016318143,0.0,0.0,0.0004835005439381,0.0,0.0027801281276441,0.0080986341109633,0.0016922519037833,0.0026592529916596,0.0019340021757524,0.004351504895443,0.0032636286715822,0.2128611144687537,0.0001208751359845,0.0062855070711954,0.000241750271969,0.0008461259518916,0.0003626254079535,0.0001208751359845,0.0016922519037833,0.0001208751359845,0.0026592529916596,0.0006043756799226
CID006558-1,0.0024488368025188,0.018366276018891,0.0005247507433968,0.2485569354556585,0.1553262200454783,0.0906069616931957,0.0001749169144656,0.001399335315725,0.0043729228616407,0.0008745845723281,0.0474024838201854,0.0404058072415602,0.0115445163547315,0.0633199230365576,0.0001749169144656,0.0006996676578625,0.0148679377295784,0.0351582998075913,0.0020990029735875,0.0015742522301906,0.059821584747245,0.0008745845723281,0.0001749169144656,0.0005247507433968,0.0005247507433968,0.0029735875459156,0.0010495014867937,0.007521427322022,0.0,0.0006996676578625,0.0,0.0045478397761063,0.0012244184012594,0.0766136085359454,0.001399335315725,0.0,0.013643519328319,0.0218646143082036,0.0036732552037782,0.0278117894000349,0.0005247507433968,0.0157425223019065,0.0001749169144656,0.0038481721182438,0.001399335315725,0.0082210949798845,0.0010495014867937,0.0012244184012594,0.00279867063145,0.0001749169144656
