Gene,SRR6337113,SRR6337114,SRR6337115,SRR6337116,SRR6337117,SRR6337118,SRR6337119,SRR6337120,SRR6337121
C11orf1,20.68308431970481,15.456560542876709,20.374610192974888,19.03686237764441,13.601116549792714,18.201878298232234,15.435339963659208,16.668427331621686,24.534793252384105
C11orf16,0.128915005853292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147188132847231
C11orf21,25.95227193570152,23.144061981222343,141.79558021737674,148.67475239808772,15.619249526551268,40.12843994754629,21.18155268615862,22.81228693131392,26.93026290416171
C11orf24,8.975093517248668,7.064819569720759,10.182769305798818,11.921553790204534,9.671517253534097,8.476142475490734,7.924090287476774,8.668924743836751,8.628291130670947
C11orf30,4.837090487858787,5.1959427075634,6.5677210440602005,9.655964073997678,5.797711128578007,7.746752835763892,4.775577381071011,6.26205514614117,8.03248738445365
C11orf31,156.43334027062647,171.0307831920475,137.8312529897097,129.8629868076214,139.51419637977142,119.9223126293544,124.25028475708204,187.2934152623604,131.89653367909176
C11orf40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf42,0.0438244531668675,0.0242409302537088,0.0,0.0,0.0,0.0,0.2256223476734495,0.0,0.0
C11orf45,0.5715774929431556,0.0734163185147391,1.1066752207638988,1.0872825596188909,0.0839645711536788,0.1906227115763729,0.8437355284109154,0.405175540776492,0.3166041215002049
C11orf49,4.7300166415350695,0.9341390212327664,0.0,0.7285528751223189,2.869797789516145,4.764150749666839,3.733121408342976,5.0234743166272455,4.563505621102308
C11orf52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf54,5.263983540781903,4.97957181865234,10.339675347559275,10.693045952600569,5.263227256295276,4.653911012635691,3.13046315911214,6.073859817638012,4.25258175056162
C11orf57,16.733529355893715,11.539838522770658,16.41544603726011,19.09166125198181,16.341421064903916,12.156299781040454,12.160267107413338,14.30343031860308,15.11067883499508
C11orf58,244.9283117686545,165.79174122508553,160.32900563433378,211.00364924025743,201.6725605902736,177.97668413193358,165.27654589837184,194.0196439424896,236.09564872549277
C11orf63,2.5247150277908803,2.1715565787561126,6.254982315587734,4.424130363807247,2.6449810898852597,1.5164100051785985,3.055394322924361,2.5374006002033123,3.255332267611041
C11orf65,0.1142842279477146,3.2012821932966435e-09,0.99984797674183,0.4913425663019436,0.0483016219267488,3.3735296788170106e-08,6.842047545772768e-09,6.683594090682913e-10,5.327098975149532e-10
C11orf68,44.79908309509426,38.661524850519726,33.345690461256325,29.962962927573933,37.233385504278495,33.20560452641012,29.81458027845253,37.334887126555344,30.86300021338519
C11orf70,0.1046583474213096,0.1087314734639978,2.158124593067055,0.3222932548826441,0.0654008919746175,0.2184107206255286,0.1347100920406022,0.3238146681376719,0.0675872951186732
C11orf71,22.73690678437354,22.46810879764435,22.866502040302382,14.54681475496196,18.28549742980495,19.333262470766872,15.97865579391294,19.336410256336546,14.342731356399806
C11orf73,17.26354833558203,19.27925999215957,10.358787992293028,11.705872643566387,12.263601958239796,21.85002747312344,11.788962796287525,18.04632325762712,17.03083027948713
C11orf74,7.232308007752807,6.170505997597674,3.627252193225009,6.162750548534826,4.42349781679528,3.3836530949178987,5.283724669580853,7.930982518239924,4.200261890772392
C11orf80,1.4095370585279976,4.292434101488194,2.0659199319692747,0.4193598916419178,1.5825667638988434,0.8558583322291117,1.0620966465074944,2.264052316119072,0.9929149009441623
C11orf84,7.524331830153668,6.5007708160527935,8.504445960842526,9.575963007299102,6.251806967440019,5.347823807557607,6.7367455348191285,8.326676837713388,5.929858309074668
C11orf85,0.280847352577314,0.0,0.8587290504259707,0.1367266077815853,0.0389389158558376,0.0,0.1387327402897307,0.0,0.0
C11orf86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf87,0.0,0.0603144588258397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf88,0.0293261696657499,0.190072461471475,1.1461619909496334,0.2722830637041569,0.0229953906733327,0.1873214298792779,0.0646850145112,0.0386172431831774,0.1026181828154124
C11orf91,0.0,0.0,0.0,0.0,0.0,0.0,0.0289708675426846,0.0,0.0
