sample,Arterial Pericyte,Blood Endothelial Cell,CD209+ moDC,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th1,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Fibroblast,GC-like B cell,Glial Cell,Goblet Cell,IL7R+ Activated DC,ILC3,Inflammatory Fibroblast,LTB+ DC,Lymphatic Endothelial Cell,MAIT,Mast Cell,Memory B cell,Monocyte Inflammatory,Myofibroblast,NK,Naive B cell,Pericyte,Plasma Cell,Plasmablast,Post-capillary venules,Proliferating Stromal Cell,Proliferating T cells,Proliferating myeloid,Resident Macrophage,Smooth Muscle Cell,Tuft Cell,gd T cell 1,gd T cell 2
CID007380-1,0.0056956875508543,0.0276647681041497,0.0141036072687822,0.0035259018171955,0.1798209926769731,0.0097640358014646,0.0081366965012205,0.0065093572009764,0.0,0.0355302413886628,0.005424464334147,0.0824518578790344,0.0,0.0016273393002441,0.0010848928668294,0.0249525359370762,0.1025223759153783,0.0037971250339029,0.0,0.1540547870897748,0.0,0.0675345809601301,0.0010848928668294,0.0046107946840249,0.0056956875508543,0.0,0.0037971250339029,0.0002712232167073,0.0,0.0040683482506102,0.0024410089503661,0.0005424464334147,0.0246813127203688,0.0122050447518307,0.0016273393002441,0.0089503661513425,0.044209384323298,0.0070518036343911,0.119338215351234,0.0016273393002441,0.0094928125847572,0.0005424464334147,0.0051532411174396,0.0002712232167073,0.0029834553837808,0.0002712232167073,0.0010848928668294,0.0032546786004882,0.0005424464334147
CID007382-1,0.0054257095158597,0.0169031719532554,0.026711185308848,0.0137729549248747,0.1012103505843071,0.0068864774624373,0.0089732888146911,0.0219115191986644,0.0025041736227045,0.0452838063439065,0.172787979966611,0.0202420701168614,0.0008347245409015,0.0008347245409015,0.0,0.0127295492487479,0.0123121869782971,0.0060517529215358,0.0,0.0843071786310517,0.0043823038397328,0.0540484140233722,0.0002086811352253,0.0093906510851419,0.0110601001669449,0.0006260434056761,0.0006260434056761,0.0125208681135225,0.0,0.0002086811352253,0.0095993322203672,0.0006260434056761,0.0335976627712854,0.1143572621035058,0.0052170283806343,0.0110601001669449,0.006677796327212,0.0102253756260434,0.0926544240400667,0.0062604340567612,0.0160684474123539,0.003338898163606,0.0223288814691151,0.0006260434056761,0.0075125208681135,0.0,0.0008347245409015,0.0056343906510851,0.0006260434056761
CID007384-1,0.0063756743501716,0.0100539480137322,0.0169200588523786,0.0110348209906817,0.2528200098087297,0.0122609122118685,0.0029426189308484,0.0107896027464443,0.0002452182442373,0.064737616478666,0.0365375183913683,0.0183913683178028,0.0,0.0007356547327121,0.0019617459538989,0.015203531142717,0.196174595389897,0.0044139283962726,0.0002452182442373,0.1194212849435998,0.0004904364884747,0.011280039234919,0.0,0.0034330554193231,0.0098087297694948,0.0009808729769494,0.0068661108386463,0.0002452182442373,0.0,0.0,0.0053948013732221,0.0049043648847474,0.045610593428151,0.0068661108386463,0.0002452182442373,0.0127513487003433,0.0022069641981363,0.0093182932810201,0.0637567435017165,0.0009808729769494,0.006620892594409,0.0004904364884747,0.0039234919077979,0.0022069641981363,0.0102991662579695,0.0,0.0,0.0090730750367827,0.0009808729769494
CID007386-1,0.0144528561596696,0.0196145905024088,0.0041293874741913,0.0008602890571231,0.1459050240880936,0.0053337921541637,0.0008602890571231,0.0086028905712319,0.0001720578114246,0.0163454920853406,0.005677907777013,0.087577426015141,0.0001720578114246,0.0005161734342739,0.0005161734342739,0.0070543702684101,0.2565381968341362,0.0024088093599449,0.0,0.1283551273227804,0.0005161734342739,0.1357536132140399,0.0003441156228492,0.0163454920853406,0.0029249827942188,0.0001720578114246,0.0147969717825189,0.0,0.0,0.0025808671713695,0.0013764624913971,0.0017205781142463,0.0115278733654507,0.0027529249827942,0.0024088093599449,0.0013764624913971,0.0,0.005677907777013,0.0701995870612525,0.0008602890571231,0.0127322780454232,0.0001720578114246,0.0041293874741913,0.0001720578114246,0.0027529249827942,0.0001720578114246,0.0015485203028217,0.001892635925671,0.0
CID007790-1,0.0012947078815342,0.0118142094189998,0.0127852403301505,0.0210390030749312,0.1351351351351351,0.0461239682796569,0.0021039003074931,0.0105195015374656,0.0009710309111506,0.0322058585531639,0.0257323191454928,0.0199061336785887,0.00728273183363,0.0016183848519177,0.001456546366726,0.0158601715487943,0.0380320440200679,0.0022657387926849,0.0,0.0359281437125748,0.0009710309111506,0.0080919242595889,0.0699142256028483,0.0053406700113286,0.0038841236446026,0.0008091924259588,0.0090629551707396,0.0,0.0,0.0025894157630684,0.0077682472892053,0.0012947078815342,0.058423693154232,0.0479041916167664,0.0017802233371095,0.0156983330636025,0.0873927820035604,0.0019420618223013,0.220747693801586,0.0067972163780547,0.0089011166855478,0.0008091924259588,0.0050169930409451,0.0012947078815342,0.0064735394076711,0.0001618384851917,0.0003236769703835,0.004369639100178,0.0001618384851917
CID007792-1,0.000468457214241,0.0073391630231105,0.0090568394753279,0.0151467832604622,0.2364147407870081,0.0210805746408494,0.0028107432854465,0.0118675827607745,0.0009369144284821,0.0371642723297938,0.0429419113054341,0.1002498438475952,0.0006246096189881,0.0018738288569643,0.0020299812617114,0.019050593379138,0.0537164272329793,0.0057776389756402,0.0,0.1161773891317926,0.0070268582136164,0.0120237351655215,0.000156152404747,0.0017176764522173,0.0023422860712054,0.000468457214241,0.0109306683322923,0.0,0.0,0.0076514678326046,0.0032792004996876,0.0021861336664584,0.0495003123048094,0.0112429731417863,0.0010930668332292,0.0163960024984384,0.0120237351655215,0.0026545908806995,0.1578700811992504,0.000156152404747,0.0023422860712054,0.0,0.004840724547158,0.0018738288569643,0.0026545908806995,0.0,0.0007807620237351,0.0035915053091817,0.000468457214241
CID007794-1,0.008629191321499,0.013560157790927,0.0189842209072978,0.0843195266272189,0.0978796844181459,0.0816074950690335,0.0029585798816568,0.0034516765285996,0.0,0.0433925049309664,0.0991124260355029,0.0285996055226824,0.0194773175542406,0.0009861932938856,0.0007396449704142,0.0207100591715976,0.0140532544378698,0.0002465483234714,0.0002465483234714,0.0648422090729783,0.0009861932938856,0.0744575936883629,0.0002465483234714,0.0056706114398422,0.0041913214990138,0.0009861932938856,0.0046844181459566,0.0,0.0,0.0014792899408284,0.003698224852071,0.0007396449704142,0.057938856015779,0.0076429980276134,0.0069033530571992,0.0066568047337278,0.0527613412228796,0.0118343195266272,0.1284516765285996,0.0007396449704142,0.0088757396449704,0.0014792899408284,0.0032051282051282,0.0007396449704142,0.0041913214990138,0.0002465483234714,0.0007396449704142,0.0066568047337278,0.0
CID007796-1,0.0012790060295998,0.0073086058834277,0.0069431755892563,0.0007308605883427,0.1637127717887813,0.0001827151470856,0.0003654302941713,0.002923442353371,0.0,0.0027407272062854,0.0042024483829709,0.0135209208843413,0.0,0.0,0.0,0.0045678786771423,0.4226201352092088,0.0091357573542846,0.0,0.1819842864973506,0.000548145441257,0.0438516353005664,0.0001827151470856,0.0063950301479992,0.0056641695596564,0.0,0.0010962908825141,0.0,0.0,0.0021925817650283,0.0001827151470856,0.0003654302941713,0.0027407272062854,0.0001827151470856,0.0003654302941713,0.0,0.0,0.0001827151470856,0.1037822035446738,0.0,0.0009135757354284,0.0,0.0045678786771423,0.0012790060295998,0.0009135757354284,0.0001827151470856,0.0014617211766855,0.0007308605883427,0.0
CID007798-1,0.0105242642759695,0.0284544923016955,0.0372247125316702,0.0134476710192944,0.1140128629896706,0.0064314948353147,0.0263106606899239,0.0076008575326447,0.0011693626973299,0.0705515494055739,0.0804911323328785,0.0060417072695381,0.0001948937828883,0.0031183005262132,0.0009744689144416,0.0179302280257259,0.0175404404599493,0.0003897875657766,0.0,0.0980315727928279,0.0007795751315533,0.2079516663418437,0.0001948937828883,0.0003897875657766,0.0035080880919898,0.0,0.0009744689144416,0.0068212824010914,0.0,0.0009744689144416,0.0025336191775482,0.0023387253946599,0.0198791658546092,0.0343013057883453,0.008380432664198,0.0074059637497563,0.0040927694406548,0.0220229974663808,0.0882868836484116,0.0011693626973299,0.0253361917754823,0.0027285129604365,0.007211069966868,0.0007795751315533,0.0089651140128629,0.0011693626973299,0.0001948937828883,0.0011693626973299,0.0
CID007800-1,0.0056475170399221,0.0179162609542356,0.02317429406037,0.0153846153846153,0.1250243427458617,0.0077896786757546,0.0044790652385589,0.0066212268743914,0.0009737098344693,0.0609542356377799,0.0385589094449853,0.0307692307692307,0.0007789678675754,0.0029211295034079,0.0007789678675754,0.0414800389483933,0.0297955209347614,0.0015579357351509,0.0,0.0444011684518013,0.0005842259006815,0.0169425511197663,0.0,0.0025316455696202,0.0052580331061343,0.0005842259006815,0.007205452775073,0.0005842259006815,0.0,0.0021421616358325,0.0025316455696202,0.0112950340798442,0.0118792599805258,0.0319376825705939,0.0009737098344693,0.0140214216163583,0.001363193768257,0.0126582278481012,0.3906523855890944,0.0019474196689386,0.007205452775073,0.001363193768257,0.007205452775073,0.0015579357351509,0.0064264849074975,0.0,0.0,0.0017526777020447,0.0003894839337877
