,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,rho_Spearman,rho_Pearson
CID003368-1,0.11817865899306539,0.16313556351366965,0.008014336578908187,0.2011803812809843,0.018800759304438076,0.4906903003289344,0.9110031773015198,0.7709674956772417
CID003369-1,0.0878789626168846,0.3422244157686259,0.13480700575443505,0.24475285482517142,0.14067414137975218,0.049662619655130864,0.7530537944887327,0.5305623346987229
CID003370-1,0.231265934394765,0.1846399825552379,0.04867033859563408,0.2524756049281671,0.24764823517460047,0.03529990435159549,0.9199542630481857,0.7405882248487161
CID003371-2,0.31492747536030846,0.11042297599502016,0.00552349867990888,0.20219117458830765,0.36091044770346753,0.006024427672987352,0.9107693595296382,0.7487121735876194
CID003372-1,0.16335510046737317,0.15128656076699287,0.11543133106263141,0.3489610653378526,0.1881772655498691,0.032788676815280964,0.9151235504826665,0.7252281925997403
CID003373-1,0.012652238829667222,0.43593347231927215,0.0498919289734589,0.2893171413374768,0.10218928790684685,0.11001593063327805,0.756037495030653,0.5949420201140627
CID003374-1,0.030633824271745613,0.772294822760121,0.051406750783150074,0.09404116992660516,0.040863128118301326,0.010760304140076875,0.9447234844333986,0.8294311996937335
CID003375-1,0.030986191976684067,0.4607403719376578,0.12775342965553466,0.06047249277609507,0.3008878566983174,0.01915965695571099,0.9466684420355127,0.814872990558341
CID003376-1,0.018974316195168435,0.33790346110844377,0.13380134957964296,0.06673587161532461,0.20558054988163765,0.23700445161978256,0.9261211765795241,0.7706074698711949
CID003377-1,0.012995380397132696,0.30620335315742364,0.3096906007547767,0.18886936532135942,0.04810321894709664,0.1341380814222109,0.7580070022058972,0.4952615024653746
CID003378-1,0.039331056839462475,0.3428433808223219,3.944170866675995e-05,0.07178780469416175,0.3951159779390709,0.1508823379963163,0.9448275862068964,0.8315362219195339
CID003379-1,0.0007181812798973923,0.6310639324984134,0.04675141905224103,0.2607599032496467,0.05442323453036117,0.0062833293894403045,0.9458639961103444,0.850820670089617
CID003380-1,0.001585862862783805,0.2558426241268675,0.06197817181960469,0.1757915083640986,0.3532014753067268,0.1516003575199187,0.9011098493029477,0.7446115987425979
CID003381-1,0.026760808875362748,0.32301761286789094,0.1070687587391724,0.47714065191278193,0.046855380955432326,0.019156786649359676,0.7444667629150713,0.5590905203309842
CID003382-1,0.07102998454866458,0.39200276392322886,0.14376133824406512,0.3648534239375289,0.003612262420142019,0.02474022692637061,0.7746342055734321,0.5715878973897666
CID003383-1,0.06593232504812367,0.2529236845364174,8.719168462638803e-06,0.16664214955785445,0.329613958142234,0.18487916354690787,0.9202052091554853,0.777670942565658
CID003384-1,0.08502874131684676,0.37577865415476885,0.007597271705352346,0.21781481620949825,0.2606508017303171,0.05312971488321666,0.9558352521597618,0.8805899203271498
CID003385-1,0.08905154246779248,0.5224833847504642,0.00777959820416332,0.1591904955917508,0.08689952814723598,0.13459545083859328,0.9476194478519122,0.8578566115301328
CID003386-1,0.0009528817314866032,0.0003846691507900163,0.3266658481458564,0.33549535556885485,0.3361987181643014,0.00030252723871073724,0.7822690734649064,0.7548585600338643
CID003665-1,0.042904741750354546,0.5422548680522802,0.0027937616877028084,0.2301149052784077,0.12896308754970245,0.05296863568155229,0.7475280651551838,0.6370573187968613
CID003666-1,0.0009480673311797436,0.4959590694486005,0.0675132336689468,0.006767485852075022,0.4220374795403979,0.006774664158800028,0.9263774178687965,0.8567975658500921
CID003667-1,0.233292041782821,0.02985657568720108,0.15100129831226744,0.37825326223817185,0.16505048048226162,0.042546341497276985,0.8558763835708159,0.7095017113137844
CID003669-1,0.185173721452592,0.05773932294738623,0.19236139509794942,0.3173998103161274,0.07552215299693416,0.17180359718901064,0.8291761675513146,0.6851036330629836
CID003670-1,0.4089344983986999,0.0011261003451681598,0.003445919928343814,0.32938698328733435,0.14755140219143892,0.1095550958490149,0.845181598062954,0.7031170201080915
CID003671-1,0.29280509124801324,0.00035346095165295543,0.31263874231661787,0.3558010767248207,0.037088751138981364,0.0013128776199138686,0.8161341619065554,0.6327746446688025
CID003672-1,0.18335339785250682,0.11821042148188844,0.000396735572190365,0.32675561117589186,0.3420157505039716,0.029268083413551034,0.872663360743205,0.7284253521545376
CID003673-1,0.015399440970363994,0.2566589252957067,0.015517453918474651,0.08356448486653618,0.33190512677252415,0.2969545681763943,0.9383967781757837,0.8114203785535972
CID003674-1,0.22792086404034193,0.2581964712773842,0.11951887834006115,0.2013521739604939,0.04609276090010016,0.14691885148161865,0.8186380235107706,0.6268374262464619
