,B Cell,Epithelium,Myeloid,Stroma,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID006486-1,0.1979657925787778,0.04414426840930811,0.06465252771950167,0.18451224476265626,0.018070045655839383,0.14838492343704227,0.34227019743687453,0.7240531493139261,0.5794275473109678
CID006493-1,0.28769923655245083,0.039649438548174334,0.0018917819619745859,0.203907570690027,0.0017543275638036778,0.16941833263871833,0.2956793120448512,0.8747209432517966,0.6053464041510184
CID006494-1,0.35235350177683983,0.02103076546982347,0.0003101316859189082,0.23565508878575167,0.008106411799042711,0.03446058390743525,0.34808351657518827,0.8223365335220589,0.6052119572357143
CID006494-2,0.2162793904287237,0.09969234658746125,0.02238525774704082,0.3111247275609529,0.03586158411202897,0.1750605340204813,0.13959615954331103,0.7608736822170318,0.6062579436053045
CID006515-1,0.2537783229537895,0.035531204980627014,7.187313132407418e-05,0.1821673797707842,0.00019659097808665267,0.2841514766551069,0.24410315153028164,0.7239934231749108,0.49315761412682113
CID006527-1,0.001670389608397328,0.012685823399397255,0.0019466427816549788,0.49823688657216714,0.001230133649242201,0.338450293023133,0.14577983096600808,0.907597137379583,0.6489799575863467
CID006542-1,0.34466937545554066,0.03851187071051355,0.0002513274093214574,0.12953462093594592,0.001118672273614733,0.25204960365719054,0.23386452955787324,0.7472701508710511,0.5613117506131666
CID006544-1,0.05945496461533506,0.05843139649900355,0.002042097022617175,0.2628485695836492,0.0030766181491339,0.3173162326534351,0.296830121476826,0.7816567783273909,0.6005585420958035
CID006548-1,0.4350458353380678,0.00024458448728039523,0.004226297797177199,0.15777277485728824,1.378396250179458e-06,0.309489524282934,0.09321960484100224,0.8557430520846787,0.554649664013981
CID006551-1,0.0005427007762052025,0.021613369275846773,0.0006504905617169251,0.5343225592369046,0.0014046562145641893,0.2832707958624726,0.15819542807228973,0.802366067707403,0.5482256291836038
CID007329-1,0.05041741659960727,4.650995922174633e-05,0.0013524325016153827,0.565966724747635,0.06381071847298803,0.2925804842869751,0.025825713431957463,0.8491422880431949,0.6242532411096785
CID007330-1,0.004886927488064436,0.03470927113484799,0.10318606484590924,0.22667014398475066,0.004046754560543022,0.30096772053807097,0.3255331174478137,0.6455442786198585,0.48795762219647765
CID007338-1,0.15753351367603965,0.01891829638979514,0.028507452253755144,0.17568653221523242,0.00032238131897645604,0.1955143705577718,0.42351745358842946,0.8453728382817827,0.6344073760273807
CID007346-1,0.032812585617612675,0.08213279359575965,0.009630595255005214,0.21914094011941038,0.2280655587982526,0.21683976526318544,0.21137776135077405,0.6823994575813194,0.627197663540385
CID007352-1,0.4829551191228095,0.04103565323608187,0.001061576600391327,0.17032639959278217,0.00016647718319496313,0.1925950194995005,0.11185975476523968,0.8509667554503304,0.568554716593682
CID007358-1,0.3527721109709214,0.0020453496489780745,0.011137819598127692,0.20130923860063543,0.0026268901078523813,0.11610195707563561,0.3140066339978494,0.8498757498461553,0.6142213832294688
CID007659-1,0.35536609753371695,0.07462684319246495,0.025222720001989968,0.04682488977495364,0.004997659357079872,0.15131254419596638,0.34164924594382834,0.6995915645578062,0.6016451077391105
CID007661-1,0.11668635207602515,0.007298371144887286,0.0019245845503958348,0.15801920458277965,0.0011830268585298453,0.31671722437889016,0.3981712364084921,0.7499651536097434,0.5561753098994394
CID007664-1,0.020802469505224495,0.060638240194795134,0.032183085122747854,0.4073802150268739,0.10031343568048255,0.06190084341483879,0.3167817110550372,0.758097501342443,0.6281073873793878
CID007665-1,0.19108157713895324,0.0094180816141283,0.007523212148492463,0.3029115940878338,0.05621219767703273,0.249419056144633,0.1834342811889265,0.8542503417466424,0.6298035438002588
CID007666-1,0.32694235028178886,0.0029202246950013,0.0007602226835518349,0.18178155144534255,0.0046690381833832985,0.219604336240551,0.26332227647038114,0.7777558987854649,0.6227627467273414
CID007667-1,0.4067292254771867,0.009189635357671488,0.008309067854420253,0.028289164786716618,0.005060737772133257,0.3181064380994112,0.2243157306524604,0.7753431607331805,0.5992810505931118
CID007672-1,0.2926942926886828,0.007167034317689367,0.022896455056705383,0.3098368986722073,0.006444405112511112,0.2735134902324265,0.08744742391977746,0.7756308124650211,0.5424657901798995
CID007676-1,0.25820476071107706,0.0979182676836347,0.0005065329164472421,0.24237991717093987,0.12773075775711312,0.2522591743840411,0.021000589376746915,0.8215677751213505,0.5841778340207749
CID007681-1,0.23468967354716186,0.1414966353338071,0.002911540412071727,0.08012086475408028,0.16797785700316187,0.22265313500089032,0.15015029394882687,0.6852799707518823,0.6405122905625973
CID007688-1,0.004738615082275502,0.38613601430238575,0.0001817753102299351,0.20919037606169907,0.05008892336707458,0.3270818282669716,0.022582467609363468,0.7231449143758194,0.6215079493128169
CID007694-1,0.15825530260715157,0.05858199447689271,0.006426704548541719,0.24700295892601526,0.23453301653668845,0.24588777858707264,0.04931224431763766,0.7934828562972985,0.5811188259915236
