,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID006320-1,0.007217463863804515,1.914177644846223e-05,0.006427356637750444,0.29269716163734844,0.00020838537625661785,0.10924825472212574,0.5841822359862657,0.8278172490249073,0.5461051324718192
CID006322-1,0.11063093589832304,0.04522974095318072,5.4911273339087004e-05,0.07553807388691867,0.016516478720467815,0.2710214397259236,0.4810084195418472,0.8129498982932196,0.6022700363997815
CID006328-1,0.06458063683668346,0.03157511421610405,0.00048803189108399884,0.05042660098735917,0.0002630789453896409,0.2963189556461014,0.5563475814772783,0.7073591839795994,0.5048944336392267
CID006331-1,0.12903485140831497,0.0005744345344703724,0.08815540718669487,0.30224104971905136,0.000701650353990357,0.27357581089239236,0.2057167959050857,0.881639989556765,0.6311894247509138
CID006336-1,0.10511825429817227,0.025507275079577674,8.865343109438375e-05,0.16607996153686058,0.03995642415954125,0.2694520317316036,0.39379739976315015,0.8359878126657359,0.6135449774067597
CID006340-1,0.22601532422796275,0.0013992199045654253,0.0324052649876319,0.1751547889875414,0.0008913492347433976,0.22609246567457097,0.3380415869829841,0.8460382639178464,0.549493438401921
CID006468-1,0.2996815141199562,0.0595985607964344,0.00011541571430633239,0.159370326619622,0.0006102650972057632,0.18972589034450005,0.29089802730797526,0.7713462836570915,0.5701981553080168
CID006469-1,0.022344828615446698,0.10539328815120615,1.2561180377072625e-05,0.3760415799250166,0.11829723411676732,0.22256079920100894,0.15534970881017723,0.7682059997044481,0.6552501281774066
CID006478-1,0.12808504255495065,0.0025777556856711108,7.773668514548328e-05,0.1399701657003183,0.001180388882877207,0.3367489646910427,0.3913599457999946,0.8188830328990593,0.5647678414487032
CID006480-1,0.11449655086004404,0.0017766245811460155,0.00027168582388655243,0.336447690633127,8.278189291344944e-05,0.061511640860240434,0.4854130253486425,0.8658880785732899,0.6401564722402893
CID006484-1,0.2099466987031307,0.012100025965595207,0.000424793864915851,0.12620358564175657,0.0028728145825457846,0.29408960016129987,0.3543624810807561,0.8611240728513702,0.5982762355443962
CID006486-1,0.004132439850262277,0.0003149541239498175,0.010174697813776612,0.28679358497265134,0.00026768970004538206,0.32865671210089026,0.3696599214384243,0.8206474349152401,0.596643808607617
CID006493-1,0.17337027167698837,0.02095127958706788,0.0002288802155536599,0.18510040085788682,5.2926215982289834e-05,0.18804759470712704,0.43224864673939384,0.872459168100789,0.5836117501813433
CID006494-1,0.17903446018551672,0.0008242632941864021,0.0007896077419368581,0.1696092836141705,0.00015067383995342464,0.2502941452034385,0.3992975661207976,0.8603190308924243,0.6208663054185247
CID006494-2,0.1616049717878194,0.07338481882957694,0.0007335039913925573,0.11102529089573016,5.18920205218872e-05,0.05878151947821999,0.5944180029967391,0.773168058619829,0.5647566983239997
CID006515-1,0.1948680727824597,0.020286416132839567,0.0003958441567390797,0.35791127016156304,0.0007814394798584988,0.08541583924141653,0.3403411180451236,0.8075231458237101,0.540306643520104
CID006527-1,8.047589938310706e-05,0.031496941936450626,4.2093437037455885e-05,0.2492406984555437,7.330694896987664e-06,0.01678565068916279,0.7023468088875253,0.7278272346019985,0.49699044515893775
CID006542-1,0.15174257671785388,0.029104274865234044,4.905551294880893e-05,0.3424205360273232,0.00013026356548354504,0.284359392370149,0.19219390094100752,0.8568596805272763,0.5806546708990794
CID006544-1,0.053140602464287964,0.03983605461378395,1.108050333967762e-05,0.07883864409122472,6.376652177288995e-05,0.49008212784481825,0.3380277239607725,0.792631333441703,0.5888020251004689
CID006548-1,0.2995666922591774,7.142760463753917e-05,7.703813861207638e-06,0.14454672200959226,0.0003962006638450556,0.2590397227120876,0.29637153093679885,0.8339137217757101,0.5560644980742011
CID006551-1,4.5815634622253925e-05,0.007516165644655537,4.243844844602736e-05,0.18140087271328942,0.00026637159757041595,0.3833966142684069,0.42733172169300954,0.7706177035614009,0.5322374559407839
