,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID003367-2,0.24876768955465456,9.577289428036245e-07,0.03403387778681852,0.16286138966398217,7.579268702532131e-06,0.11273619757158423,0.4415923084253152,0.8771582644832534,0.6427497013825288
CID003368-1,0.1331800488755522,0.0015151742974160803,0.0008425789771941291,0.14388228764637429,0.024036411745977655,0.20604583956206765,0.490497658895418,0.8492723918835827,0.6356481343703243
CID003369-1,0.01016333724917844,0.08031637960300968,0.0003079634318332915,0.05248422779666588,0.0007027013603226498,0.26855625221636137,0.5874691383426287,0.7587808482340772,0.6139252078651911
CID003370-1,0.2448634131237011,0.02989626661741631,0.007409394594135248,0.20052361535601781,0.07243228995152819,0.08819654517827114,0.3566784751789303,0.8205461013714046,0.666182053057882
CID003371-2,0.36050598684280405,0.006256373054041036,0.004248631858456072,0.14072791363625117,0.004624919488629209,0.17203590137017913,0.31160027374963933,0.860376828727649,0.6221235619457967
CID003372-1,0.07386494623920611,0.00013004962152470798,0.004991143285856889,0.3957105699783502,0.055837795500719184,0.022204672289164396,0.4472608230851785,0.8381117709760926,0.6393955168198237
CID003373-1,6.272080224558174e-05,0.10937153561674105,0.0020803127808154396,0.1622645003947068,0.04137715873617687,0.32210186914310757,0.3627419025262067,0.7444363802603332,0.6107001901401277
CID003374-1,0.0006549064855434698,0.3482677329448168,0.000359639448810481,0.0005426974607810987,0.1239509313128351,0.33339179422543025,0.19283229812178282,0.7564550508712946,0.6029303336172097
CID003375-1,0.0015151842509251753,0.14152742820353795,0.0020607172332410897,8.380733931306592e-05,0.18561848278913226,0.25424073426268134,0.4149536459211691,0.7429857729466892,0.5851575678091431
CID003376-1,0.00019962869029096757,0.03465329305114186,0.003716473951002531,0.00012015406383761552,0.20078368689569875,0.26128761864295097,0.4992391447050773,0.7645969304369473,0.5783346053337114
CID003377-1,8.028292514095717e-05,0.010267268705662873,0.09177956746700729,0.026648736776381098,0.0029495118959764026,0.30595939148589846,0.5623152407439329,0.6590010344318015,0.535093230009507
CID003378-1,0.0022671794467383505,0.5082998764512184,0.000339879891237159,0.04044330457148405,0.1135367319506147,0.0359412044595646,0.2991718232291427,0.7648743718592965,0.6155775840250224
CID003379-1,0.004286571756591467,0.13293468731152056,3.9151460923424006e-05,0.048708517897075206,0.26363022491857274,0.28429276719302565,0.2661080794622909,0.7227853805158474,0.5342176510601948
CID003380-1,0.0027080585840706132,0.10953208262626687,0.0012147446981295661,0.16847983596614519,0.13268471976116458,0.16477893561409404,0.4206016227501291,0.7589199705599031,0.6333934737820899
CID003381-1,0.0020318897172504273,0.008615889663533494,0.0009748939158309853,0.36155896569708385,0.0008365356314925255,0.2662113939084298,0.359770431466379,0.7575644190402423,0.6143966744222882
CID003382-1,0.023089049486769715,0.07537580300573932,5.317753449011942e-06,0.24299805142172787,0.07173129379721088,0.012855119171359142,0.5739453653637441,0.7450842650620477,0.613943510019586
CID003383-1,0.00020796018792034192,0.1282392142196594,0.00022079908559887284,0.06983562158461573,0.0814116717163936,0.34372388395738845,0.37636084924842356,0.7646238983398238,0.583386761732697
CID003384-1,0.003239284882233274,0.11035479515606827,0.0007519877945710246,0.07717300596265536,0.2385822880736556,0.19159993283018814,0.3782987053006283,0.7631015400272809,0.5721686054460351
CID003385-1,0.01788070833567163,0.07224976324903017,0.00014717884477923198,0.0020517447342898766,0.22168465830901155,0.32587919515195113,0.36010675137526643,0.7375231796577102,0.5632292437920619
CID003386-1,0.8056134167379695,0.0001556463650248002,0.02243263478330877,0.08696236940477159,3.759022833705714e-05,0.04418288862290117,0.04061545385768716,0.8205664783892508,0.4216213127132995
CID003665-1,0.06398887060616174,0.1872558676700939,0.000527073090487747,0.2417473259460648,0.04197250202772633,0.155436792034561,0.3090715686249044,0.753300832520813,0.6035292959143652
CID003666-1,0.0010488992832263992,0.3214128330497851,0.0004593446038350919,4.9066195565016976e-06,0.09122302152487442,0.2602766637649505,0.32557433115377193,0.6826263296176314,0.6153511539167899
CID003667-1,0.22137162450882703,0.0015295015363902475,0.03914253883483986,0.22800026663062217,0.00028204726328524897,0.046845549428320775,0.4628284717977146,0.8079707130376903,0.545303108855291
