,T Lineage,Fibroblast,B Cell,Plasma Cell,Myeloid Cell,Endothelial Cell,ILC,Mast Cell,Glial Cell,Epithelial Cell
SDSL,0.0015506644,0.017086953,0.0007178065,0.0017635446,0.05814539,0.006103584,0.003301188,0.037544675,0.0,0.046096455
LHX5,0.0,0.0,0.0,0.0,0.00025258004,0.0,0.0,0.0,0.0,0.00014349674
LHX5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01234,0.00047403225,0.0009255564,0.000240869,0.00042720884,0.00043496664,0.0005712647,0.001167473,0.0,0.006423186,6.159289e-05
RBM19,0.012897392,0.01162072,0.011627274,0.0051751216,0.011448504,0.011814598,0.018983234,0.005604274,0.0023371414,0.0113845905
AC073863.1,6.272638e-05,0.0,0.0002661161,2.0209409e-05,0.0,0.0,0.0,0.0,0.0,8.50664e-05
AC010183.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010183.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010177.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX3,0.0001517391,0.046370838,0.00022319071,0.00029143709,0.0015117339,0.01701955,0.0,0.0,0.12831886,0.057829093
AC026765.2,2.4826586e-05,0.00028411477,4.8430098e-05,0.0,0.00010204923,0.0,0.0,0.0,0.0,0.0004215064
AC026765.1,0.0,0.0,0.0,0.0,0.00014929862,0.0,0.0,0.0,0.0,0.0
AC008125.1,8.948289e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC078880.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC078880.3,1.1777536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007600784,0.0
AC078880.4,3.5665627e-05,0.0,0.0,0.0,5.8745336e-05,0.0,0.0,0.0,0.008404487,7.1955656e-05
AC078880.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047088973,3.9161772e-05
AC078880.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009803.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009803.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
