,T Lineage,Fibroblast,B Cell,Plasma Cell,Myeloid Cell,Endothelial Cell,ILC,Mast Cell,Glial Cell,Epithelial Cell
AL513542.1,2.8963129e-08,2.0163548e-06,0.0,0.0,0.0,1.2839486e-05,2.4073697e-07,0.0,0.0,0.0
NKX2-3,3.4411752e-07,8.822082e-05,5.5795715e-07,8.0631247e-07,0.0,0.00013999712,1.8269526e-07,0.0,0.0,1.2727634e-07
SLC25A28,9.900478e-06,1.9190991e-05,1.3689752e-05,2.2092468e-05,2.7922346e-05,3.6736215e-05,1.0258479e-05,8.458302e-06,1.9576195e-05,2.1296262e-05
AL353719.1,2.2925396e-06,8.7053877e-07,1.4545141e-06,4.2084666e-06,5.8274736e-06,4.6560267e-06,2.1413875e-06,2.35434e-06,5.9305917e-06,3.2787289e-06
AL133353.1,4.344424e-08,3.29979e-07,0.0,5.737399e-07,1.6693566e-06,8.0823077e-07,1.1726428e-06,0.0,0.0,5.226409e-07
ENTPD7,9.386197e-07,5.738913e-06,5.3504635e-07,2.354467e-06,1.0025395e-05,4.172434e-06,2.981419e-06,3.5563885e-06,0.0,1.5675907e-05
CUTC,5.0494633e-05,4.81784e-05,5.071723e-05,3.6696536e-05,2.6833635e-05,5.6810382e-05,5.8231934e-05,4.2392978e-05,3.6920916e-05,2.2162321e-05
COX15,1.383675e-05,2.076164e-05,2.0294478e-05,1.3024807e-05,1.8852432e-05,1.5775582e-05,1.4599723e-05,2.3905255e-05,2.3143626e-05,2.6698235e-05
ABCC2,5.154951e-07,1.3040292e-06,4.0357213e-07,1.1043982e-06,3.6155652e-07,0.0,3.1211002e-07,0.0,0.0,1.3817453e-05
DNMBP,4.45632e-06,2.2546334e-05,2.3348703e-05,5.8426017e-06,2.3202858e-05,2.8577258e-05,1.4946602e-05,1.28904785e-05,0.0,3.3209315e-05
DNMBP-AS1,2.137531e-06,8.0894256e-07,2.6028818e-06,1.4704196e-06,1.4381352e-05,1.7721543e-06,1.5047033e-06,3.1062557e-06,0.0,5.162277e-06
CPN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERLIN1,7.882689e-06,1.964177e-05,3.8057012e-06,4.3999166e-06,1.8845052e-05,3.5310277e-05,7.6589085e-06,8.867897e-06,2.9646748e-05,3.4166937e-05
CHUK,1.4061998e-05,1.7046468e-05,8.2581555e-06,7.974824e-06,1.8067449e-05,1.5654228e-05,1.121491e-05,1.6333332e-05,1.6631999e-05,1.4836579e-05
AL138921.2,2.4639158e-07,0.0,6.471758e-08,9.233441e-08,1.5077892e-07,1.5108285e-06,0.0,0.0,0.0,0.0
AL138921.1,1.8421785e-07,0.0,0.0,7.2771954e-08,1.6286923e-07,0.0,0.0,0.0,0.0,2.1373906e-07
CWF19L1,2.0950549e-05,1.6212156e-05,2.2525533e-05,1.1562665e-05,1.29852615e-05,2.5703062e-05,1.947898e-05,2.016827e-05,3.6477853e-05,1.1075791e-05
BLOC1S2,0.00010967481,5.287392e-05,0.000211661,5.7820977e-05,0.00012592883,6.900413e-05,9.4063886e-05,9.892523e-05,5.6797522e-05,5.454755e-05
PKD2L1,3.590019e-08,0.0,1.1734143e-07,2.0881734e-08,5.5654064e-06,2.87331e-07,0.0,0.0,0.0,0.0
AL139819.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCD,2.0823534e-06,4.458266e-06,8.3655993e-07,1.5904221e-06,1.6436965e-05,8.668818e-06,1.5154258e-06,1.899468e-06,0.00015137438,3.637606e-05
OLMALINC,1.1083775e-06,1.6285186e-06,5.831944e-07,3.989475e-06,1.422524e-06,4.170567e-06,2.0858686e-06,3.3668016e-06,8.245129e-06,4.6303617e-06
WNT8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEC31B,9.283141e-06,6.412058e-06,6.8840204e-06,7.6072783e-06,7.436104e-06,6.266452e-06,7.901667e-06,4.8064285e-06,0.0,3.319376e-06
AL133352.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFB8,0.00021633036,0.00024702953,0.00016178562,0.00027204113,0.00023485238,0.00022977742,0.00019396034,0.00021847158,0.00027182177,0.0003983198
HIF1AN,2.2411583e-05,3.3319593e-05,2.2196866e-05,1.7382814e-05,1.6598598e-05,2.2393157e-05,2.3254126e-05,8.487457e-06,2.5738895e-05,1.5624295e-05
PAX2,0.0,0.0,0.0,0.0,1.244658e-07,0.0,0.0,0.0,0.0,5.549843e-08
AL138762.1,2.5143959e-06,7.1535487e-06,2.487685e-06,1.8071216e-06,1.2172841e-06,6.531414e-06,2.3777145e-06,2.8486331e-06,2.6142538e-06,3.375732e-06
SLF2,2.8587683e-05,4.8707017e-05,2.5471083e-05,1.6118702e-05,2.321958e-05,5.083645e-05,2.4905421e-05,1.41060145e-05,6.494435e-05,1.833216e-05
AL133215.3,4.737295e-08,3.1490805e-07,3.1037106e-07,0.0,0.0,2.9650874e-07,0.0,0.0,0.0,0.0
MRPL43,8.2764396e-05,0.0001292319,8.77956e-05,0.00011975025,7.962416e-05,0.00010180482,8.113641e-05,4.2351232e-05,0.00011764721,0.0001228926
SEMA4G,4.380404e-07,8.27265e-07,2.4233324e-07,6.6709833e-07,4.5812467e-07,8.0023534e-07,0.0,0.0,0.0,3.728652e-05
AL133215.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178717e-08
